cpa/S4/sync.64_4.s4.p00.g00.cor [40] ; min = -0.563862 (9964) ; max = +0.556238 (8108) ; ext = -0.563862 (9964)
cpa/S4/sync.64_4.s4.p00.g01.cor [40] ; min = -0.636657 (8097) ; max = +0.648766 (18741) ; ext = +0.648766 (18741)
cpa/S4/sync.64_4.s4.p00.g02.cor [40] ; min = -0.574043 (26177) ; max = +0.580078 (15355) ; ext = +0.580078 (15355)
cpa/S4/sync.64_4.s4.p00.g03.cor [40] ; min = -0.533789 (12548) ; max = +0.587684 (3285) ; ext = +0.587684 (3285)
cpa/S4/sync.64_4.s4.p00.g04.cor [40] ; min = -0.570438 (13925) ; max = +0.566897 (45988) ; ext = -0.570438 (13925)
cpa/S4/sync.64_4.s4.p00.g05.cor [40] ; min = -0.566427 (29578) ; max = +0.615703 (4977) ; ext = +0.615703 (4977)
cpa/S4/sync.64_4.s4.p00.g06.cor [40] ; min = -0.621538 (8271) ; max = +0.622103 (3245) ; ext = +0.622103 (3245)
cpa/S4/sync.64_4.s4.p00.g07.cor [40] ; min = -0.649401 (9862) ; max = +0.607878 (31205) ; ext = -0.649401 (9862)
cpa/S4/sync.64_4.s4.p00.g08.cor [40] ; min = -0.603222 (43319) ; max = +0.555520 (30105) ; ext = -0.603222 (43319)
cpa/S4/sync.64_4.s4.p00.g09.cor [40] ; min = -0.583274 (23260) ; max = +0.634643 (625) ; ext = +0.634643 (625)
cpa/S4/sync.64_4.s4.p00.g10.cor [40] ; min = -0.646309 (46542) ; max = +0.617849 (7796) ; ext = -0.646309 (46542)
cpa/S4/sync.64_4.s4.p00.g11.cor [40] ; min = -0.566900 (15835) ; max = +0.561105 (47973) ; ext = -0.566900 (15835)
cpa/S4/sync.64_4.s4.p00.g12.cor [40] ; min = -0.617904 (40562) ; max = +0.584164 (34972) ; ext = -0.617904 (40562)
cpa/S4/sync.64_4.s4.p00.g13.cor [40] ; min = -0.532712 (19263) ; max = +0.670103 (35236) ; ext = +0.670103 (35236)
cpa/S4/sync.64_4.s4.p00.g14.cor [40] ; min = -0.575790 (42876) ; max = +0.632974 (22161) ; ext = +0.632974 (22161)
cpa/S4/sync.64_4.s4.p00.g15.cor [40] ; min = -0.606148 (40293) ; max = +0.605205 (1720) ; ext = -0.606148 (40293)
cpa/S4/sync.64_4.s4.p00.g16.cor [40] ; min = -0.572144 (49150) ; max = +0.615942 (6786) ; ext = +0.615942 (6786)
cpa/S4/sync.64_4.s4.p00.g17.cor [40] ; min = -0.668582 (43035) ; max = +0.656584 (38283) ; ext = -0.668582 (43035)
cpa/S4/sync.64_4.s4.p00.g18.cor [40] ; min = -0.580644 (16314) ; max = +0.619336 (8030) ; ext = +0.619336 (8030)
cpa/S4/sync.64_4.s4.p00.g19.cor [40] ; min = -0.651603 (13) ; max = +0.553645 (44011) ; ext = -0.651603 (13)
cpa/S4/sync.64_4.s4.p00.g20.cor [40] ; min = -0.591521 (5855) ; max = +0.635869 (37761) ; ext = +0.635869 (37761)
cpa/S4/sync.64_4.s4.p00.g21.cor [40] ; min = -0.686352 (5159) ; max = +0.607691 (15509) ; ext = -0.686352 (5159)
cpa/S4/sync.64_4.s4.p00.g22.cor [40] ; min = -0.627494 (3293) ; max = +0.686905 (10356) ; ext = +0.686905 (10356)
cpa/S4/sync.64_4.s4.p00.g23.cor [40] ; min = -0.568433 (35346) ; max = +0.590973 (43599) ; ext = +0.590973 (43599)
cpa/S4/sync.64_4.s4.p00.g24.cor [40] ; min = -0.588706 (25256) ; max = +0.542435 (39911) ; ext = -0.588706 (25256)
cpa/S4/sync.64_4.s4.p00.g25.cor [40] ; min = -0.617453 (40242) ; max = +0.594552 (35329) ; ext = -0.617453 (40242)
cpa/S4/sync.64_4.s4.p00.g26.cor [40] ; min = -0.535837 (36155) ; max = +0.634600 (41775) ; ext = +0.634600 (41775)
cpa/S4/sync.64_4.s4.p00.g27.cor [40] ; min = -0.629266 (43679) ; max = +0.577293 (14524) ; ext = -0.629266 (43679)
cpa/S4/sync.64_4.s4.p00.g28.cor [40] ; min = -0.542563 (37541) ; max = +0.697272 (1654) ; ext = +0.697272 (1654)
cpa/S4/sync.64_4.s4.p00.g29.cor [40] ; min = -0.687805 (41924) ; max = +0.648058 (39088) ; ext = -0.687805 (41924)
cpa/S4/sync.64_4.s4.p00.g30.cor [40] ; min = -0.614903 (7479) ; max = +0.592097 (47901) ; ext = -0.614903 (7479)
cpa/S4/sync.64_4.s4.p00.g31.cor [40] ; min = -0.626130 (36004) ; max = +0.582986 (38707) ; ext = -0.626130 (36004)
cpa/S4/sync.64_4.s4.p00.g32.cor [40] ; min = -0.585981 (14641) ; max = +0.549961 (11091) ; ext = -0.585981 (14641)
cpa/S4/sync.64_4.s4.p00.g33.cor [40] ; min = -0.629374 (47699) ; max = +0.654180 (28566) ; ext = +0.654180 (28566)
cpa/S4/sync.64_4.s4.p00.g34.cor [40] ; min = -0.651363 (4707) ; max = +0.594859 (21490) ; ext = -0.651363 (4707)
cpa/S4/sync.64_4.s4.p00.g35.cor [40] ; min = -0.880464 (22150) ; max = +0.931626 (2487) ; ext = +0.931626 (2487)
cpa/S4/sync.64_4.s4.p00.g36.cor [40] ; min = -0.589475 (13) ; max = +0.602724 (25014) ; ext = +0.602724 (25014)
cpa/S4/sync.64_4.s4.p00.g37.cor [40] ; min = -0.562781 (12280) ; max = +0.592284 (48662) ; ext = +0.592284 (48662)
cpa/S4/sync.64_4.s4.p00.g38.cor [40] ; min = -0.632265 (28501) ; max = +0.628046 (49056) ; ext = -0.632265 (28501)
cpa/S4/sync.64_4.s4.p00.g39.cor [40] ; min = -0.687501 (46542) ; max = +0.549466 (14530) ; ext = -0.687501 (46542)
