cpa/S6/demo.64_4.s6.p00.g44.cor [40] ; min = -0.553276 (33730) ; max = +0.513033 (7893) ; ext = -0.553276 (33730)
cpa/S6/demo.64_4.s6.p00.g45.cor [40] ; min = -0.563632 (7793) ; max = +0.553901 (11955) ; ext = -0.563632 (7793)
cpa/S6/demo.64_4.s6.p00.g46.cor [40] ; min = -0.570654 (8570) ; max = +0.639427 (31431) ; ext = +0.639427 (31431)
cpa/S6/demo.64_4.s6.p00.g47.cor [40] ; min = -0.609557 (31220) ; max = +0.662127 (3451) ; ext = +0.662127 (3451)
cpa/S6/demo.64_4.s6.p00.g48.cor [40] ; min = -0.556650 (21305) ; max = +0.534364 (28093) ; ext = -0.556650 (21305)
cpa/S6/demo.64_4.s6.p00.g49.cor [40] ; min = -0.528045 (1692) ; max = +0.550629 (16978) ; ext = +0.550629 (16978)
cpa/S6/demo.64_4.s6.p00.g50.cor [40] ; min = -0.674391 (5225) ; max = +0.715914 (27817) ; ext = +0.715914 (27817)
cpa/S6/demo.64_4.s6.p00.g51.cor [40] ; min = -0.551454 (85) ; max = +0.583916 (44987) ; ext = +0.583916 (44987)
cpa/S6/demo.64_4.s6.p00.g52.cor [40] ; min = -0.520983 (30934) ; max = +0.587046 (24016) ; ext = +0.587046 (24016)
cpa/S6/demo.64_4.s6.p00.g53.cor [40] ; min = -0.590272 (37182) ; max = +0.578180 (3045) ; ext = -0.590272 (37182)
cpa/S6/demo.64_4.s6.p00.g54.cor [40] ; min = -0.624687 (47262) ; max = +0.530762 (28850) ; ext = -0.624687 (47262)
cpa/S6/demo.64_4.s6.p00.g55.cor [40] ; min = -0.690673 (816) ; max = +0.698963 (36239) ; ext = +0.698963 (36239)
cpa/S6/demo.64_4.s6.p00.g56.cor [40] ; min = -0.586527 (45879) ; max = +0.551215 (9967) ; ext = -0.586527 (45879)
cpa/S6/demo.64_4.s6.p00.g57.cor [40] ; min = -0.659323 (40838) ; max = +0.590795 (17236) ; ext = -0.659323 (40838)
cpa/S6/demo.64_4.s6.p00.g58.cor [40] ; min = -0.619030 (41933) ; max = +0.643266 (23464) ; ext = +0.643266 (23464)
cpa/S6/demo.64_4.s6.p00.g59.cor [40] ; min = -0.579231 (34515) ; max = +0.578523 (13368) ; ext = -0.579231 (34515)
cpa/S6/demo.64_4.s6.p00.g60.cor [40] ; min = -0.538880 (25660) ; max = +0.588520 (14608) ; ext = +0.588520 (14608)
cpa/S6/demo.64_4.s6.p00.g61.cor [40] ; min = -0.634458 (12354) ; max = +0.553928 (24548) ; ext = -0.634458 (12354)
cpa/S6/demo.64_4.s6.p00.g62.cor [40] ; min = -0.633852 (39080) ; max = +0.574763 (47361) ; ext = -0.633852 (39080)
cpa/S6/demo.64_4.s6.p00.g63.cor [40] ; min = -0.536749 (40028) ; max = +0.506131 (10910) ; ext = -0.536749 (40028)
