cpa/S4/demo.64_4.s4.p00.g00.cor [40] ; min = -0.586617 (12224) ; max = +0.579672 (43229) ; ext = -0.586617 (12224)
cpa/S4/demo.64_4.s4.p00.g01.cor [40] ; min = -0.558211 (6505) ; max = +0.583944 (40481) ; ext = +0.583944 (40481)
cpa/S4/demo.64_4.s4.p00.g02.cor [40] ; min = -0.637280 (5850) ; max = +0.631185 (33528) ; ext = -0.637280 (5850)
cpa/S4/demo.64_4.s4.p00.g03.cor [40] ; min = -0.513463 (47664) ; max = +0.611754 (3129) ; ext = +0.611754 (3129)
cpa/S4/demo.64_4.s4.p00.g04.cor [40] ; min = -0.539382 (32658) ; max = +0.528407 (13936) ; ext = -0.539382 (32658)
cpa/S4/demo.64_4.s4.p00.g05.cor [40] ; min = -0.546855 (10935) ; max = +0.566796 (44223) ; ext = +0.566796 (44223)
cpa/S4/demo.64_4.s4.p00.g06.cor [40] ; min = -0.538257 (37539) ; max = +0.562255 (2990) ; ext = +0.562255 (2990)
cpa/S4/demo.64_4.s4.p00.g07.cor [40] ; min = -0.593423 (194) ; max = +0.549738 (46541) ; ext = -0.593423 (194)
cpa/S4/demo.64_4.s4.p00.g08.cor [40] ; min = -0.701072 (40974) ; max = +0.579961 (31764) ; ext = -0.701072 (40974)
cpa/S4/demo.64_4.s4.p00.g09.cor [40] ; min = -0.555875 (46277) ; max = +0.503182 (40243) ; ext = -0.555875 (46277)
cpa/S4/demo.64_4.s4.p00.g10.cor [40] ; min = -0.673814 (48562) ; max = +0.620695 (28231) ; ext = -0.673814 (48562)
cpa/S4/demo.64_4.s4.p00.g11.cor [40] ; min = -0.579603 (6811) ; max = +0.616472 (36297) ; ext = +0.616472 (36297)
cpa/S4/demo.64_4.s4.p00.g12.cor [40] ; min = -0.606214 (24592) ; max = +0.588008 (43748) ; ext = -0.606214 (24592)
cpa/S4/demo.64_4.s4.p00.g13.cor [40] ; min = -0.571750 (40243) ; max = +0.609156 (26413) ; ext = +0.609156 (26413)
cpa/S4/demo.64_4.s4.p00.g14.cor [40] ; min = -0.565780 (28095) ; max = +0.587561 (34364) ; ext = +0.587561 (34364)
cpa/S4/demo.64_4.s4.p00.g15.cor [40] ; min = -0.634711 (29262) ; max = +0.624098 (2174) ; ext = -0.634711 (29262)
cpa/S4/demo.64_4.s4.p00.g16.cor [40] ; min = -0.625605 (21395) ; max = +0.562408 (39890) ; ext = -0.625605 (21395)
cpa/S4/demo.64_4.s4.p00.g17.cor [40] ; min = -0.637139 (21221) ; max = +0.524108 (41967) ; ext = -0.637139 (21221)
cpa/S4/demo.64_4.s4.p00.g18.cor [40] ; min = -0.515141 (14302) ; max = +0.545053 (49676) ; ext = +0.545053 (49676)
cpa/S4/demo.64_4.s4.p00.g19.cor [40] ; min = -0.646392 (20719) ; max = +0.550803 (26735) ; ext = -0.646392 (20719)
cpa/S4/demo.64_4.s4.p00.g20.cor [40] ; min = -0.573788 (26004) ; max = +0.575333 (37794) ; ext = +0.575333 (37794)
cpa/S4/demo.64_4.s4.p00.g21.cor [40] ; min = -0.589576 (22540) ; max = +0.568872 (25742) ; ext = -0.589576 (22540)
cpa/S4/demo.64_4.s4.p00.g22.cor [40] ; min = -0.591118 (4856) ; max = +0.592053 (13994) ; ext = +0.592053 (13994)
cpa/S4/demo.64_4.s4.p00.g23.cor [40] ; min = -0.505032 (27084) ; max = +0.598424 (29617) ; ext = +0.598424 (29617)
cpa/S4/demo.64_4.s4.p00.g24.cor [40] ; min = -0.561956 (33430) ; max = +0.574420 (19628) ; ext = +0.574420 (19628)
cpa/S4/demo.64_4.s4.p00.g25.cor [40] ; min = -0.722064 (40243) ; max = +0.573514 (6534) ; ext = -0.722064 (40243)
cpa/S4/demo.64_4.s4.p00.g26.cor [40] ; min = -0.551452 (47399) ; max = +0.644626 (25373) ; ext = +0.644626 (25373)
cpa/S4/demo.64_4.s4.p00.g27.cor [40] ; min = -0.634169 (27005) ; max = +0.608099 (14524) ; ext = -0.634169 (27005)
cpa/S4/demo.64_4.s4.p00.g28.cor [40] ; min = -0.511457 (16149) ; max = +0.528544 (11820) ; ext = +0.528544 (11820)
cpa/S4/demo.64_4.s4.p00.g29.cor [40] ; min = -0.577232 (32851) ; max = +0.570677 (48655) ; ext = -0.577232 (32851)
cpa/S4/demo.64_4.s4.p00.g30.cor [40] ; min = -0.543091 (6597) ; max = +0.584958 (48758) ; ext = +0.584958 (48758)
cpa/S4/demo.64_4.s4.p00.g31.cor [40] ; min = -0.616272 (13791) ; max = +0.593107 (21116) ; ext = -0.616272 (13791)
cpa/S4/demo.64_4.s4.p00.g32.cor [40] ; min = -0.520498 (26995) ; max = +0.569571 (37440) ; ext = +0.569571 (37440)
cpa/S4/demo.64_4.s4.p00.g33.cor [40] ; min = -0.569408 (4763) ; max = +0.572651 (37750) ; ext = +0.572651 (37750)
cpa/S4/demo.64_4.s4.p00.g34.cor [40] ; min = -0.551557 (46253) ; max = +0.531567 (23819) ; ext = -0.551557 (46253)
cpa/S4/demo.64_4.s4.p00.g35.cor [40] ; min = -0.564245 (13670) ; max = +0.853120 (2488) ; ext = +0.853120 (2488)
cpa/S4/demo.64_4.s4.p00.g36.cor [40] ; min = -0.588476 (35280) ; max = +0.611915 (35291) ; ext = +0.611915 (35291)
cpa/S4/demo.64_4.s4.p00.g37.cor [40] ; min = -0.625034 (13840) ; max = +0.619076 (48287) ; ext = -0.625034 (13840)
cpa/S4/demo.64_4.s4.p00.g38.cor [40] ; min = -0.573025 (22990) ; max = +0.535963 (39428) ; ext = -0.573025 (22990)
cpa/S4/demo.64_4.s4.p00.g39.cor [40] ; min = -0.706397 (46542) ; max = +0.610597 (28231) ; ext = -0.706397 (46542)
cpa/S4/demo.64_4.s4.p00.g40.cor [40] ; min = -0.526724 (37460) ; max = +0.584621 (20980) ; ext = +0.584621 (20980)
cpa/S4/demo.64_4.s4.p00.g41.cor [40] ; min = -0.520049 (35323) ; max = +0.560964 (12435) ; ext = +0.560964 (12435)
cpa/S4/demo.64_4.s4.p00.g42.cor [40] ; min = -0.582579 (7384) ; max = +0.587638 (12020) ; ext = +0.587638 (12020)
cpa/S4/demo.64_4.s4.p00.g43.cor [40] ; min = -0.545090 (3592) ; max = +0.583375 (31462) ; ext = +0.583375 (31462)
cpa/S4/demo.64_4.s4.p00.g44.cor [40] ; min = -0.662888 (22317) ; max = +0.668882 (40064) ; ext = +0.668882 (40064)
cpa/S4/demo.64_4.s4.p00.g45.cor [40] ; min = -0.517973 (10337) ; max = +0.565783 (24722) ; ext = +0.565783 (24722)
cpa/S4/demo.64_4.s4.p00.g46.cor [40] ; min = -0.541237 (38923) ; max = +0.559454 (48934) ; ext = +0.559454 (48934)
cpa/S4/demo.64_4.s4.p00.g47.cor [40] ; min = -0.577475 (14795) ; max = +0.598366 (46003) ; ext = +0.598366 (46003)
cpa/S4/demo.64_4.s4.p00.g48.cor [40] ; min = -0.539850 (44633) ; max = +0.568101 (7075) ; ext = +0.568101 (7075)
cpa/S4/demo.64_4.s4.p00.g49.cor [40] ; min = -0.572605 (9332) ; max = +0.556950 (4219) ; ext = -0.572605 (9332)
cpa/S4/demo.64_4.s4.p00.g50.cor [40] ; min = -0.538809 (41296) ; max = +0.577629 (45495) ; ext = +0.577629 (45495)
