
cpa/S5/demo.64_4.s5.p00.g05.cor [40] ; min = -0.571685 (47342) ; max = +0.635329 (41381) ; ext = +0.635329 (41381)
cpa/S5/demo.64_4.s5.p00.g26.cor [40] ; min = -0.548934 (21258) ; max = +0.626879 (9852) ; ext = +0.626879 (9852)
cpa/S5/demo.64_4.s5.p00.g12.cor [40] ; min = -0.610480 (42342) ; max = +0.626176 (49718) ; ext = +0.626176 (49718)
cpa/S5/demo.64_4.s5.p00.g06.cor [40] ; min = -0.576115 (5259) ; max = +0.618102 (13669) ; ext = +0.618102 (13669)
cpa/S5/demo.64_4.s5.p00.g09.cor [40] ; min = -0.575833 (6702) ; max = +0.616992 (44266) ; ext = +0.616992 (44266)
cpa/S5/demo.64_4.s5.p00.g39.cor [40] ; min = -0.576500 (42342) ; max = +0.616768 (25786) ; ext = +0.616768 (25786)

cpa/S6/demo.64_4.s6.p00.g35.cor [40] ; min = -0.664360 (15120) ; max = +0.752843 (31511) ; ext = +0.752843 (31511)
cpa/S6/demo.64_4.s6.p00.g50.cor [40] ; min = -0.674391 (5225) ; max = +0.715914 (27817) ; ext = +0.715914 (27817)
cpa/S6/demo.64_4.s6.p00.g55.cor [40] ; min = -0.690673 (816) ; max = +0.698963 (36239) ; ext = +0.698963 (36239)
cpa/S6/demo.64_4.s6.p00.g47.cor [40] ; min = -0.609557 (31220) ; max = +0.662127 (3451) ; ext = +0.662127 (3451)
cpa/S6/demo.64_4.s6.p00.g01.cor [40] ; min = -0.625297 (40779) ; max = +0.661137 (25912) ; ext = +0.661137 (25912)
cpa/S6/demo.64_4.s6.p00.g20.cor [40] ; min = -0.643009 (1951) ; max = +0.654978 (9418) ; ext = +0.654978 (9418)
cpa/S6/demo.64_4.s6.p00.g32.cor [40] ; min = -0.630336 (47608) ; max = +0.646672 (42530) ; ext = +0.646672 (42530)
cpa/S6/demo.64_4.s6.p00.g58.cor [40] ; min = -0.619030 (41933) ; max = +0.643266 (23464) ; ext = +0.643266 (23464)
cpa/S6/demo.64_4.s6.p00.g46.cor [40] ; min = -0.570654 (8570) ; max = +0.639427 (31431) ; ext = +0.639427 (31431)
cpa/S6/demo.64_4.s6.p00.g36.cor [40] ; min = -0.613869 (21147) ; max = +0.632976 (11357) ; ext = +0.632976 (11357)

cpa/S7/demo.64_4.s7.p00.g37.cor [40] ; min = -0.534894 (8188) ; max = +0.754183 (8184) ; ext = +0.754183 (8184)
cpa/S7/demo.64_4.s7.p00.g34.cor [40] ; min = -0.652457 (37110) ; max = +0.721521 (32492) ; ext = +0.721521 (32492)
cpa/S7/demo.64_4.s7.p00.g39.cor [40] ; min = -0.610292 (16921) ; max = +0.679809 (22651) ; ext = +0.679809 (22651)
cpa/S7/demo.64_4.s7.p00.g54.cor [40] ; min = -0.571265 (39084) ; max = +0.667384 (28627) ; ext = +0.667384 (28627)
cpa/S7/demo.64_4.s7.p00.g55.cor [40] ; min = -0.622563 (14557) ; max = +0.660610 (27195) ; ext = +0.660610 (27195)
cpa/S7/demo.64_4.s7.p00.g11.cor [40] ; min = -0.624999 (18715) ; max = +0.657084 (32843) ; ext = +0.657084 (32843)
cpa/S7/demo.64_4.s7.p00.g03.cor [40] ; min = -0.612174 (43964) ; max = +0.650275 (19408) ; ext = +0.650275 (19408)
cpa/S7/demo.64_4.s7.p00.g41.cor [40] ; min = -0.634291 (42130) ; max = +0.646343 (23916) ; ext = +0.646343 (23916)
cpa/S7/demo.64_4.s7.p00.g40.cor [40] ; min = -0.583339 (49461) ; max = +0.643800 (25108) ; ext = +0.643800 (25108)
cpa/S7/demo.64_4.s7.p00.g61.cor [40] ; min = -0.560976 (41461) ; max = +0.640917 (14103) ; ext = +0.640917 (14103)

cpa/S8/demo.64_4.s8.p00.g48.cor [40] ; min = -0.615008 (22964) ; max = +0.824896 (16593) ; ext = +0.824896 (16593)
cpa/S8/demo.64_4.s8.p00.g13.cor [40] ; min = -0.670876 (45656) ; max = +0.713006 (1622) ; ext = +0.713006 (1622)
cpa/S8/demo.64_4.s8.p00.g57.cor [40] ; min = -0.615823 (26304) ; max = +0.685146 (12314) ; ext = +0.685146 (12314)
cpa/S8/demo.64_4.s8.p00.g30.cor [40] ; min = -0.670280 (7880) ; max = +0.680769 (45372) ; ext = +0.680769 (45372)
cpa/S8/demo.64_4.s8.p00.g44.cor [40] ; min = -0.557080 (23350) ; max = +0.672157 (36974) ; ext = +0.672157 (36974)
cpa/S8/demo.64_4.s8.p00.g50.cor [40] ; min = -0.585729 (23103) ; max = +0.653409 (16975) ; ext = +0.653409 (16975)
cpa/S8/demo.64_4.s8.p00.g11.cor [40] ; min = -0.585867 (7526) ; max = +0.652441 (32438) ; ext = +0.652441 (32438)
cpa/S8/demo.64_4.s8.p00.g25.cor [40] ; min = -0.613266 (33599) ; max = +0.650470 (23103) ; ext = +0.650470 (23103)
cpa/S8/demo.64_4.s8.p00.g04.cor [40] ; min = -0.636286 (31395) ; max = +0.647743 (23103) ; ext = +0.647743 (23103)
cpa/S8/demo.64_4.s8.p00.g33.cor [40] ; min = -0.617922 (39426) ; max = +0.642082 (16333) ; ext = +0.642082 (16333)
