cpa/S2/demo.64_4.s2.p00.g00.cor [40] ; min = -0.588369 (35490) ; max = +0.678357 (30562) ; ext = +0.678357 (30562)
cpa/S2/demo.64_4.s2.p00.g01.cor [40] ; min = -0.689845 (26684) ; max = +0.587144 (35490) ; ext = -0.689845 (26684)
cpa/S2/demo.64_4.s2.p00.g02.cor [40] ; min = -0.595593 (30896) ; max = +0.571023 (44225) ; ext = -0.595593 (30896)
cpa/S2/demo.64_4.s2.p00.g03.cor [40] ; min = -0.584921 (36781) ; max = +0.605303 (30002) ; ext = +0.605303 (30002)
cpa/S2/demo.64_4.s2.p00.g04.cor [40] ; min = -0.566516 (27040) ; max = +0.595057 (36902) ; ext = +0.595057 (36902)
cpa/S2/demo.64_4.s2.p00.g05.cor [40] ; min = -0.526904 (16088) ; max = +0.629190 (30208) ; ext = +0.629190 (30208)
cpa/S2/demo.64_4.s2.p00.g06.cor [40] ; min = -0.514448 (23477) ; max = +0.553917 (11804) ; ext = +0.553917 (11804)
cpa/S2/demo.64_4.s2.p00.g07.cor [40] ; min = -0.559697 (11264) ; max = +0.588977 (16197) ; ext = +0.588977 (16197)
cpa/S2/demo.64_4.s2.p00.g08.cor [40] ; min = -0.592567 (48232) ; max = +0.569792 (44087) ; ext = -0.592567 (48232)
cpa/S2/demo.64_4.s2.p00.g09.cor [40] ; min = -0.610035 (10775) ; max = +0.614630 (14694) ; ext = +0.614630 (14694)
cpa/S2/demo.64_4.s2.p00.g10.cor [40] ; min = -0.624002 (35089) ; max = +0.552065 (32296) ; ext = -0.624002 (35089)
cpa/S2/demo.64_4.s2.p00.g11.cor [40] ; min = -0.571247 (29662) ; max = +0.580777 (38575) ; ext = +0.580777 (38575)
cpa/S2/demo.64_4.s2.p00.g12.cor [40] ; min = -0.507405 (6805) ; max = +0.567664 (30567) ; ext = +0.567664 (30567)
cpa/S2/demo.64_4.s2.p00.g13.cor [40] ; min = -0.555937 (37538) ; max = +0.540480 (3460) ; ext = -0.555937 (37538)
cpa/S2/demo.64_4.s2.p00.g14.cor [40] ; min = -0.473063 (26813) ; max = +0.491698 (6254) ; ext = +0.491698 (6254)
cpa/S2/demo.64_4.s2.p00.g15.cor [40] ; min = -0.584903 (45454) ; max = +0.539994 (39980) ; ext = -0.584903 (45454)
cpa/S2/demo.64_4.s2.p00.g16.cor [40] ; min = -0.584583 (43018) ; max = +0.535669 (37189) ; ext = -0.584583 (43018)
cpa/S2/demo.64_4.s2.p00.g17.cor [40] ; min = -0.555899 (7477) ; max = +0.622124 (49375) ; ext = +0.622124 (49375)
cpa/S2/demo.64_4.s2.p00.g18.cor [40] ; min = -0.634654 (44233) ; max = +0.562299 (39746) ; ext = -0.634654 (44233)
cpa/S2/demo.64_4.s2.p00.g19.cor [40] ; min = -0.544306 (10779) ; max = +0.578604 (45033) ; ext = +0.578604 (45033)
cpa/S2/demo.64_4.s2.p00.g20.cor [40] ; min = -0.569780 (16236) ; max = +0.619509 (7655) ; ext = +0.619509 (7655)
cpa/S2/demo.64_4.s2.p00.g21.cor [40] ; min = -0.562023 (29497) ; max = +0.591315 (38273) ; ext = +0.591315 (38273)
cpa/S2/demo.64_4.s2.p00.g22.cor [40] ; min = -0.571158 (11963) ; max = +0.612376 (43089) ; ext = +0.612376 (43089)
cpa/S2/demo.64_4.s2.p00.g23.cor [40] ; min = -0.622985 (33105) ; max = +0.635060 (6027) ; ext = +0.635060 (6027)
cpa/S2/demo.64_4.s2.p00.g24.cor [40] ; min = -0.533209 (20816) ; max = +0.617059 (45987) ; ext = +0.617059 (45987)
cpa/S2/demo.64_4.s2.p00.g25.cor [40] ; min = -0.569170 (14266) ; max = +0.570777 (44184) ; ext = +0.570777 (44184)
cpa/S2/demo.64_4.s2.p00.g26.cor [40] ; min = -0.538050 (158) ; max = +0.536336 (37769) ; ext = -0.538050 (158)
cpa/S2/demo.64_4.s2.p00.g27.cor [40] ; min = -0.593842 (37660) ; max = +0.641660 (2227) ; ext = +0.641660 (2227)
cpa/S2/demo.64_4.s2.p00.g28.cor [40] ; min = -0.571401 (8202) ; max = +0.573476 (47061) ; ext = +0.573476 (47061)
cpa/S2/demo.64_4.s2.p00.g29.cor [40] ; min = -0.563897 (23345) ; max = +0.565797 (47216) ; ext = +0.565797 (47216)
cpa/S2/demo.64_4.s2.p00.g30.cor [40] ; min = -0.571371 (34816) ; max = +0.567988 (29530) ; ext = -0.571371 (34816)
cpa/S2/demo.64_4.s2.p00.g31.cor [40] ; min = -0.581737 (31572) ; max = +0.627750 (35339) ; ext = +0.627750 (35339)
cpa/S2/demo.64_4.s2.p00.g32.cor [40] ; min = -0.583657 (33512) ; max = +0.579292 (44551) ; ext = -0.583657 (33512)
cpa/S2/demo.64_4.s2.p00.g33.cor [40] ; min = -0.662099 (180) ; max = +0.846517 (14694) ; ext = +0.846517 (14694)
cpa/S2/demo.64_4.s2.p00.g34.cor [40] ; min = -0.573529 (35089) ; max = +0.573305 (27417) ; ext = -0.573529 (35089)
cpa/S2/demo.64_4.s2.p00.g35.cor [40] ; min = -0.584904 (17323) ; max = +0.560963 (8770) ; ext = -0.584904 (17323)
cpa/S2/demo.64_4.s2.p00.g36.cor [40] ; min = -0.580018 (3620) ; max = +0.560861 (48788) ; ext = -0.580018 (3620)
cpa/S2/demo.64_4.s2.p00.g37.cor [40] ; min = -0.566304 (37938) ; max = +0.578105 (1649) ; ext = +0.578105 (1649)
cpa/S2/demo.64_4.s2.p00.g38.cor [40] ; min = -0.505934 (43981) ; max = +0.553283 (9245) ; ext = +0.553283 (9245)
cpa/S2/demo.64_4.s2.p00.g39.cor [40] ; min = -0.572573 (44492) ; max = +0.544569 (28083) ; ext = -0.572573 (44492)
cpa/S2/demo.64_4.s2.p00.g40.cor [40] ; min = -0.602274 (46616) ; max = +0.537274 (10732) ; ext = -0.602274 (46616)
cpa/S2/demo.64_4.s2.p00.g41.cor [40] ; min = -0.635813 (26669) ; max = +0.669553 (37517) ; ext = +0.669553 (37517)
cpa/S2/demo.64_4.s2.p00.g42.cor [40] ; min = -0.612831 (29221) ; max = +0.576310 (4000) ; ext = -0.612831 (29221)
cpa/S2/demo.64_4.s2.p00.g43.cor [40] ; min = -0.636278 (44095) ; max = +0.568905 (11180) ; ext = -0.636278 (44095)
cpa/S2/demo.64_4.s2.p00.g44.cor [40] ; min = -0.585782 (25875) ; max = +0.557717 (44411) ; ext = -0.585782 (25875)
cpa/S2/demo.64_4.s2.p00.g45.cor [40] ; min = -0.580462 (5510) ; max = +0.568684 (40115) ; ext = -0.580462 (5510)
cpa/S2/demo.64_4.s2.p00.g46.cor [40] ; min = -0.607983 (7660) ; max = +0.490465 (39892) ; ext = -0.607983 (7660)
cpa/S2/demo.64_4.s2.p00.g47.cor [40] ; min = -0.526736 (11264) ; max = +0.585873 (19676) ; ext = +0.585873 (19676)
cpa/S2/demo.64_4.s2.p00.g48.cor [40] ; min = -0.570881 (17469) ; max = +0.593884 (14522) ; ext = +0.593884 (14522)
cpa/S2/demo.64_4.s2.p00.g49.cor [40] ; min = -0.589282 (15510) ; max = +0.590010 (42604) ; ext = +0.590010 (42604)
cpa/S2/demo.64_4.s2.p00.g50.cor [40] ; min = -0.618643 (15342) ; max = +0.567278 (43200) ; ext = -0.618643 (15342)
cpa/S2/demo.64_4.s2.p00.g51.cor [40] ; min = -0.571570 (7605) ; max = +0.591160 (23341) ; ext = +0.591160 (23341)
cpa/S2/demo.64_4.s2.p00.g52.cor [40] ; min = -0.590112 (8107) ; max = +0.553006 (41902) ; ext = -0.590112 (8107)
cpa/S2/demo.64_4.s2.p00.g53.cor [40] ; min = -0.603125 (45165) ; max = +0.569587 (9654) ; ext = -0.603125 (45165)
cpa/S2/demo.64_4.s2.p00.g54.cor [40] ; min = -0.588845 (5576) ; max = +0.600056 (24316) ; ext = +0.600056 (24316)
cpa/S2/demo.64_4.s2.p00.g55.cor [40] ; min = -0.572237 (46389) ; max = +0.531996 (41393) ; ext = -0.572237 (46389)
cpa/S2/demo.64_4.s2.p00.g56.cor [40] ; min = -0.526879 (13894) ; max = +0.563039 (5253) ; ext = +0.563039 (5253)
cpa/S2/demo.64_4.s2.p00.g57.cor [40] ; min = -0.600776 (37509) ; max = +0.599378 (22710) ; ext = -0.600776 (37509)
cpa/S2/demo.64_4.s2.p00.g58.cor [40] ; min = -0.614639 (44365) ; max = +0.547224 (32278) ; ext = -0.614639 (44365)
cpa/S2/demo.64_4.s2.p00.g59.cor [40] ; min = -0.598178 (39754) ; max = +0.608106 (46015) ; ext = +0.608106 (46015)
cpa/S2/demo.64_4.s2.p00.g60.cor [40] ; min = -0.578738 (1351) ; max = +0.564844 (28203) ; ext = -0.578738 (1351)
cpa/S2/demo.64_4.s2.p00.g61.cor [40] ; min = -0.586214 (30215) ; max = +0.589729 (3933) ; ext = +0.589729 (3933)
cpa/S2/demo.64_4.s2.p00.g62.cor [40] ; min = -0.568557 (11963) ; max = +0.580192 (43089) ; ext = +0.580192 (43089)
cpa/S2/demo.64_4.s2.p00.g63.cor [40] ; min = -0.595514 (1179) ; max = +0.660038 (10066) ; ext = +0.660038 (10066)
