cpa/S6/sync.64_4.s6.p00.g00.cor [40] ; min = -0.564385 (25312) ; max = +0.537670 (40779) ; ext = -0.564385 (25312)
cpa/S6/sync.64_4.s6.p00.g01.cor [40] ; min = -0.583436 (41018) ; max = +0.673166 (26311) ; ext = +0.673166 (26311)
cpa/S6/sync.64_4.s6.p00.g02.cor [40] ; min = -0.654969 (36601) ; max = +0.612839 (14329) ; ext = -0.654969 (36601)
cpa/S6/sync.64_4.s6.p00.g03.cor [40] ; min = -0.586495 (30036) ; max = +0.609672 (7600) ; ext = +0.609672 (7600)
cpa/S6/sync.64_4.s6.p00.g04.cor [40] ; min = -0.656395 (31870) ; max = +0.622861 (23029) ; ext = -0.656395 (31870)
cpa/S6/sync.64_4.s6.p00.g05.cor [40] ; min = -0.603003 (1909) ; max = +0.604235 (49800) ; ext = +0.604235 (49800)
cpa/S6/sync.64_4.s6.p00.g06.cor [40] ; min = -0.582436 (8457) ; max = +0.562813 (25110) ; ext = -0.582436 (8457)
cpa/S6/sync.64_4.s6.p00.g07.cor [40] ; min = -0.584457 (32557) ; max = +0.601371 (43393) ; ext = +0.601371 (43393)
cpa/S6/sync.64_4.s6.p00.g08.cor [40] ; min = -0.653634 (20238) ; max = +0.586486 (32228) ; ext = -0.653634 (20238)
cpa/S6/sync.64_4.s6.p00.g09.cor [40] ; min = -0.644122 (46567) ; max = +0.672008 (2550) ; ext = +0.672008 (2550)
cpa/S6/sync.64_4.s6.p00.g10.cor [40] ; min = -0.536424 (40782) ; max = +0.543290 (38646) ; ext = +0.543290 (38646)
cpa/S6/sync.64_4.s6.p00.g11.cor [40] ; min = -0.570154 (7823) ; max = +0.597853 (15461) ; ext = +0.597853 (15461)
cpa/S6/sync.64_4.s6.p00.g12.cor [40] ; min = -0.615026 (7481) ; max = +0.565885 (39687) ; ext = -0.615026 (7481)
cpa/S6/sync.64_4.s6.p00.g13.cor [40] ; min = -0.607036 (49465) ; max = +0.586249 (37629) ; ext = -0.607036 (49465)
cpa/S6/sync.64_4.s6.p00.g14.cor [40] ; min = -0.599978 (32736) ; max = +0.653987 (7519) ; ext = +0.653987 (7519)
cpa/S6/sync.64_4.s6.p00.g15.cor [40] ; min = -0.604024 (16011) ; max = +0.578052 (29645) ; ext = -0.604024 (16011)
cpa/S6/sync.64_4.s6.p00.g16.cor [40] ; min = -0.581005 (24702) ; max = +0.584904 (1770) ; ext = +0.584904 (1770)
cpa/S6/sync.64_4.s6.p00.g17.cor [40] ; min = -0.585673 (32839) ; max = +0.535485 (7205) ; ext = -0.585673 (32839)
cpa/S6/sync.64_4.s6.p00.g18.cor [40] ; min = -0.563522 (17929) ; max = +0.554292 (24015) ; ext = -0.563522 (17929)
cpa/S6/sync.64_4.s6.p00.g19.cor [40] ; min = -0.669999 (18604) ; max = +0.619193 (36838) ; ext = -0.669999 (18604)
cpa/S6/sync.64_4.s6.p00.g20.cor [40] ; min = -0.553966 (34668) ; max = +0.567984 (31950) ; ext = +0.567984 (31950)
cpa/S6/sync.64_4.s6.p00.g21.cor [40] ; min = -0.600757 (43122) ; max = +0.599882 (49111) ; ext = -0.600757 (43122)
