cpa/S7/sync.64_4.s7.p00.g00.cor [40] ; min = -0.640198 (15546) ; max = +0.530516 (1693) ; ext = -0.640198 (15546)
cpa/S7/sync.64_4.s7.p00.g01.cor [40] ; min = -0.568630 (31873) ; max = +0.552230 (8434) ; ext = -0.568630 (31873)
cpa/S7/sync.64_4.s7.p00.g02.cor [40] ; min = -0.607212 (11455) ; max = +0.602651 (28642) ; ext = -0.607212 (11455)
cpa/S7/sync.64_4.s7.p00.g03.cor [40] ; min = -0.618736 (26417) ; max = +0.577166 (21119) ; ext = -0.618736 (26417)
cpa/S7/sync.64_4.s7.p00.g04.cor [40] ; min = -0.560010 (32102) ; max = +0.560153 (4800) ; ext = +0.560153 (4800)
cpa/S7/sync.64_4.s7.p00.g05.cor [40] ; min = -0.567048 (28741) ; max = +0.556264 (38398) ; ext = -0.567048 (28741)
cpa/S7/sync.64_4.s7.p00.g06.cor [40] ; min = -0.553814 (29209) ; max = +0.622396 (1378) ; ext = +0.622396 (1378)
cpa/S7/sync.64_4.s7.p00.g07.cor [40] ; min = -0.667134 (39511) ; max = +0.594080 (29523) ; ext = -0.667134 (39511)
cpa/S7/sync.64_4.s7.p00.g08.cor [40] ; min = -0.581342 (27979) ; max = +0.601067 (36401) ; ext = +0.601067 (36401)
cpa/S7/sync.64_4.s7.p00.g09.cor [40] ; min = -0.583300 (8321) ; max = +0.592918 (27781) ; ext = +0.592918 (27781)
cpa/S7/sync.64_4.s7.p00.g10.cor [40] ; min = -0.623119 (1386) ; max = +0.552401 (14240) ; ext = -0.623119 (1386)
cpa/S7/sync.64_4.s7.p00.g11.cor [40] ; min = -0.534668 (36093) ; max = +0.622338 (44091) ; ext = +0.622338 (44091)
cpa/S7/sync.64_4.s7.p00.g12.cor [40] ; min = -0.589644 (8235) ; max = +0.611804 (40968) ; ext = +0.611804 (40968)
cpa/S7/sync.64_4.s7.p00.g13.cor [40] ; min = -0.585188 (19394) ; max = +0.658888 (36159) ; ext = +0.658888 (36159)
cpa/S7/sync.64_4.s7.p00.g14.cor [40] ; min = -0.550085 (24054) ; max = +0.622120 (46081) ; ext = +0.622120 (46081)
cpa/S7/sync.64_4.s7.p00.g15.cor [40] ; min = -0.613366 (1063) ; max = +0.648699 (5271) ; ext = +0.648699 (5271)
cpa/S7/sync.64_4.s7.p00.g16.cor [40] ; min = -0.520023 (8183) ; max = +0.574284 (48096) ; ext = +0.574284 (48096)
cpa/S7/sync.64_4.s7.p00.g17.cor [40] ; min = -0.648104 (9455) ; max = +0.566459 (41889) ; ext = -0.648104 (9455)
cpa/S7/sync.64_4.s7.p00.g18.cor [40] ; min = -0.559655 (24227) ; max = +0.550301 (42371) ; ext = -0.559655 (24227)
cpa/S7/sync.64_4.s7.p00.g19.cor [40] ; min = -0.547823 (20579) ; max = +0.601098 (6281) ; ext = +0.601098 (6281)
cpa/S7/sync.64_4.s7.p00.g20.cor [40] ; min = -0.576003 (36936) ; max = +0.608231 (6310) ; ext = +0.608231 (6310)
cpa/S7/sync.64_4.s7.p00.g21.cor [40] ; min = -0.574079 (34979) ; max = +0.581672 (19081) ; ext = +0.581672 (19081)
cpa/S7/sync.64_4.s7.p00.g22.cor [40] ; min = -0.598956 (14688) ; max = +0.619854 (16761) ; ext = +0.619854 (16761)
cpa/S7/sync.64_4.s7.p00.g23.cor [40] ; min = -0.629386 (34056) ; max = +0.597810 (18099) ; ext = -0.629386 (34056)
cpa/S7/sync.64_4.s7.p00.g24.cor [40] ; min = -0.565263 (35493) ; max = +0.610138 (2269) ; ext = +0.610138 (2269)
cpa/S7/sync.64_4.s7.p00.g25.cor [40] ; min = -0.612757 (23354) ; max = +0.578310 (5191) ; ext = -0.612757 (23354)
cpa/S7/sync.64_4.s7.p00.g26.cor [40] ; min = -0.606084 (457) ; max = +0.617613 (26440) ; ext = +0.617613 (26440)
cpa/S7/sync.64_4.s7.p00.g27.cor [40] ; min = -0.616648 (28485) ; max = +0.631074 (433) ; ext = +0.631074 (433)
cpa/S7/sync.64_4.s7.p00.g28.cor [40] ; min = -0.637318 (33441) ; max = +0.606601 (28363) ; ext = -0.637318 (33441)
cpa/S7/sync.64_4.s7.p00.g29.cor [40] ; min = -0.593220 (42478) ; max = +0.626532 (12012) ; ext = +0.626532 (12012)
cpa/S7/sync.64_4.s7.p00.g30.cor [40] ; min = -0.644925 (31508) ; max = +0.664788 (31511) ; ext = +0.664788 (31511)
cpa/S7/sync.64_4.s7.p00.g31.cor [40] ; min = -0.594815 (11712) ; max = +0.548216 (29400) ; ext = -0.594815 (11712)
cpa/S7/sync.64_4.s7.p00.g32.cor [40] ; min = -0.568852 (43326) ; max = +0.597745 (29375) ; ext = +0.597745 (29375)
cpa/S7/sync.64_4.s7.p00.g33.cor [40] ; min = -0.548510 (40717) ; max = +0.562409 (19081) ; ext = +0.562409 (19081)
cpa/S7/sync.64_4.s7.p00.g34.cor [40] ; min = -0.702637 (18045) ; max = +0.594864 (3351) ; ext = -0.702637 (18045)
cpa/S7/sync.64_4.s7.p00.g35.cor [40] ; min = -0.648919 (34164) ; max = +0.666376 (18237) ; ext = +0.666376 (18237)
cpa/S7/sync.64_4.s7.p00.g36.cor [40] ; min = -0.521801 (42193) ; max = +0.654913 (46755) ; ext = +0.654913 (46755)
cpa/S7/sync.64_4.s7.p00.g37.cor [40] ; min = -0.895306 (8181) ; max = +0.926732 (8183) ; ext = +0.926732 (8183)
cpa/S7/sync.64_4.s7.p00.g38.cor [40] ; min = -0.588805 (24227) ; max = +0.577653 (5271) ; ext = -0.588805 (24227)
cpa/S7/sync.64_4.s7.p00.g39.cor [40] ; min = -0.564905 (27323) ; max = +0.525885 (49444) ; ext = -0.564905 (27323)
cpa/S7/sync.64_4.s7.p00.g40.cor [40] ; min = -0.599067 (35588) ; max = +0.601514 (16627) ; ext = +0.601514 (16627)
cpa/S7/sync.64_4.s7.p00.g41.cor [40] ; min = -0.591798 (45943) ; max = +0.688655 (23916) ; ext = +0.688655 (23916)
cpa/S7/sync.64_4.s7.p00.g42.cor [40] ; min = -0.585802 (16899) ; max = +0.616492 (35273) ; ext = +0.616492 (35273)
cpa/S7/sync.64_4.s7.p00.g43.cor [40] ; min = -0.585583 (46052) ; max = +0.593280 (49562) ; ext = +0.593280 (49562)
cpa/S7/sync.64_4.s7.p00.g44.cor [40] ; min = -0.615443 (6326) ; max = +0.579794 (37244) ; ext = -0.615443 (6326)
cpa/S7/sync.64_4.s7.p00.g45.cor [40] ; min = -0.582918 (37095) ; max = +0.585957 (5296) ; ext = +0.585957 (5296)
cpa/S7/sync.64_4.s7.p00.g46.cor [40] ; min = -0.622337 (47804) ; max = +0.609174 (14513) ; ext = -0.622337 (47804)
cpa/S7/sync.64_4.s7.p00.g47.cor [40] ; min = -0.566051 (16416) ; max = +0.578253 (33794) ; ext = +0.578253 (33794)
cpa/S7/sync.64_4.s7.p00.g48.cor [40] ; min = -0.600424 (36987) ; max = +0.591146 (27424) ; ext = -0.600424 (36987)
cpa/S7/sync.64_4.s7.p00.g49.cor [40] ; min = -0.589514 (2544) ; max = +0.627739 (8186) ; ext = +0.627739 (8186)
cpa/S7/sync.64_4.s7.p00.g50.cor [40] ; min = -0.669648 (8193) ; max = +0.638571 (38778) ; ext = -0.669648 (8193)
cpa/S7/sync.64_4.s7.p00.g51.cor [40] ; min = -0.612164 (16799) ; max = +0.641293 (16197) ; ext = +0.641293 (16197)
cpa/S7/sync.64_4.s7.p00.g52.cor [40] ; min = -0.576578 (31469) ; max = +0.615705 (41109) ; ext = +0.615705 (41109)
cpa/S7/sync.64_4.s7.p00.g53.cor [40] ; min = -0.579436 (22401) ; max = +0.548846 (7548) ; ext = -0.579436 (22401)
cpa/S7/sync.64_4.s7.p00.g54.cor [40] ; min = -0.600655 (37726) ; max = +0.620150 (28627) ; ext = +0.620150 (28627)
cpa/S7/sync.64_4.s7.p00.g55.cor [40] ; min = -0.656055 (8434) ; max = +0.577245 (33427) ; ext = -0.656055 (8434)
cpa/S7/sync.64_4.s7.p00.g56.cor [40] ; min = -0.572244 (9455) ; max = +0.558515 (43013) ; ext = -0.572244 (9455)
cpa/S7/sync.64_4.s7.p00.g57.cor [40] ; min = -0.573686 (5599) ; max = +0.608308 (47802) ; ext = +0.608308 (47802)
cpa/S7/sync.64_4.s7.p00.g58.cor [40] ; min = -0.610941 (41694) ; max = +0.644222 (37215) ; ext = +0.644222 (37215)
cpa/S7/sync.64_4.s7.p00.g59.cor [40] ; min = -0.653076 (8181) ; max = +0.602014 (24054) ; ext = -0.653076 (8181)
cpa/S7/sync.64_4.s7.p00.g60.cor [40] ; min = -0.612819 (45050) ; max = +0.581083 (36038) ; ext = -0.612819 (45050)
cpa/S7/sync.64_4.s7.p00.g61.cor [40] ; min = -0.626177 (14831) ; max = +0.652386 (12019) ; ext = +0.652386 (12019)
cpa/S7/sync.64_4.s7.p00.g62.cor [40] ; min = -0.615874 (42184) ; max = +0.620850 (26699) ; ext = +0.620850 (26699)
cpa/S7/sync.64_4.s7.p00.g63.cor [40] ; min = -0.581863 (43585) ; max = +0.576422 (14554) ; ext = -0.581863 (43585)
