cpa/S1/demo.64_4.s1.p00.g00.cor [40] ; min = -0.573602 (7471) ; max = +0.538365 (32435) ; ext = -0.573602 (7471)
cpa/S1/demo.64_4.s1.p00.g01.cor [40] ; min = -0.615421 (16784) ; max = +0.607738 (8050) ; ext = -0.615421 (16784)
cpa/S1/demo.64_4.s1.p00.g02.cor [40] ; min = -0.543723 (41961) ; max = +0.615113 (6386) ; ext = +0.615113 (6386)
cpa/S1/demo.64_4.s1.p00.g03.cor [40] ; min = -0.613440 (32588) ; max = +0.537402 (18958) ; ext = -0.613440 (32588)
cpa/S1/demo.64_4.s1.p00.g04.cor [40] ; min = -0.623524 (32093) ; max = +0.685132 (8826) ; ext = +0.685132 (8826)
cpa/S1/demo.64_4.s1.p00.g05.cor [40] ; min = -0.571424 (31259) ; max = +0.546018 (46532) ; ext = -0.571424 (31259)
cpa/S1/demo.64_4.s1.p00.g06.cor [40] ; min = -0.640057 (9831) ; max = +0.592729 (49289) ; ext = -0.640057 (9831)
cpa/S1/demo.64_4.s1.p00.g07.cor [40] ; min = -0.609397 (16709) ; max = +0.611405 (29644) ; ext = +0.611405 (29644)
cpa/S1/demo.64_4.s1.p00.g08.cor [40] ; min = -0.523610 (47847) ; max = +0.579280 (31570) ; ext = +0.579280 (31570)
cpa/S1/demo.64_4.s1.p00.g09.cor [40] ; min = -0.560885 (5980) ; max = +0.479598 (15287) ; ext = -0.560885 (5980)
cpa/S1/demo.64_4.s1.p00.g10.cor [40] ; min = -0.560663 (11491) ; max = +0.556012 (19826) ; ext = -0.560663 (11491)
cpa/S1/demo.64_4.s1.p00.g11.cor [40] ; min = -0.586944 (18144) ; max = +0.567037 (2725) ; ext = -0.586944 (18144)
cpa/S1/demo.64_4.s1.p00.g12.cor [40] ; min = -0.578914 (10900) ; max = +0.576054 (34919) ; ext = -0.578914 (10900)
cpa/S1/demo.64_4.s1.p00.g13.cor [40] ; min = -0.584604 (16021) ; max = +0.537104 (38951) ; ext = -0.584604 (16021)
cpa/S1/demo.64_4.s1.p00.g14.cor [40] ; min = -0.580719 (16816) ; max = +0.572281 (36114) ; ext = -0.580719 (16816)
cpa/S1/demo.64_4.s1.p00.g15.cor [40] ; min = -0.496037 (9511) ; max = +0.533408 (17408) ; ext = +0.533408 (17408)
cpa/S1/demo.64_4.s1.p00.g16.cor [40] ; min = -0.532574 (49666) ; max = +0.600074 (5861) ; ext = +0.600074 (5861)
cpa/S1/demo.64_4.s1.p00.g17.cor [40] ; min = -0.621751 (45124) ; max = +0.541628 (21362) ; ext = -0.621751 (45124)
cpa/S1/demo.64_4.s1.p00.g18.cor [40] ; min = -0.712168 (1672) ; max = +0.831326 (33410) ; ext = +0.831326 (33410)
cpa/S1/demo.64_4.s1.p00.g19.cor [40] ; min = -0.567896 (18950) ; max = +0.615412 (7569) ; ext = +0.615412 (7569)
cpa/S1/demo.64_4.s1.p00.g20.cor [40] ; min = -0.580980 (35236) ; max = +0.577276 (17358) ; ext = -0.580980 (35236)
cpa/S1/demo.64_4.s1.p00.g21.cor [40] ; min = -0.590136 (15329) ; max = +0.606652 (10903) ; ext = +0.606652 (10903)
