cpa/S3/sync.64_4.s3.p00.g00.cor [40] ; min = -0.610253 (49057) ; max = +0.625513 (9790) ; ext = +0.625513 (9790)
cpa/S3/sync.64_4.s3.p00.g01.cor [40] ; min = -0.533978 (30538) ; max = +0.647581 (35408) ; ext = +0.647581 (35408)
cpa/S3/sync.64_4.s3.p00.g02.cor [40] ; min = -0.576900 (10926) ; max = +0.598182 (3117) ; ext = +0.598182 (3117)
cpa/S3/sync.64_4.s3.p00.g03.cor [40] ; min = -0.612166 (17712) ; max = +0.648099 (32899) ; ext = +0.648099 (32899)
cpa/S3/sync.64_4.s3.p00.g04.cor [40] ; min = -0.651548 (31153) ; max = +0.533307 (36588) ; ext = -0.651548 (31153)
cpa/S3/sync.64_4.s3.p00.g05.cor [40] ; min = -0.574551 (23557) ; max = +0.600248 (33764) ; ext = +0.600248 (33764)
cpa/S3/sync.64_4.s3.p00.g06.cor [40] ; min = -0.569494 (42004) ; max = +0.573061 (703) ; ext = +0.573061 (703)
cpa/S3/sync.64_4.s3.p00.g07.cor [40] ; min = -0.586320 (44901) ; max = +0.590033 (37391) ; ext = +0.590033 (37391)
cpa/S3/sync.64_4.s3.p00.g08.cor [40] ; min = -0.600794 (35017) ; max = +0.575220 (5255) ; ext = -0.600794 (35017)
cpa/S3/sync.64_4.s3.p00.g09.cor [40] ; min = -0.632972 (49330) ; max = +0.615927 (8425) ; ext = -0.632972 (49330)
cpa/S3/sync.64_4.s3.p00.g10.cor [40] ; min = -0.593545 (18012) ; max = +0.685163 (43039) ; ext = +0.685163 (43039)
cpa/S3/sync.64_4.s3.p00.g11.cor [40] ; min = -0.595752 (9054) ; max = +0.530609 (4638) ; ext = -0.595752 (9054)
cpa/S3/sync.64_4.s3.p00.g12.cor [40] ; min = -0.634804 (38259) ; max = +0.644083 (14666) ; ext = +0.644083 (14666)
cpa/S3/sync.64_4.s3.p00.g13.cor [40] ; min = -0.571018 (36072) ; max = +0.534378 (30701) ; ext = -0.571018 (36072)
cpa/S3/sync.64_4.s3.p00.g14.cor [40] ; min = -0.546459 (5828) ; max = +0.549744 (19130) ; ext = +0.549744 (19130)
cpa/S3/sync.64_4.s3.p00.g15.cor [40] ; min = -0.580149 (43366) ; max = +0.608683 (26448) ; ext = +0.608683 (26448)
cpa/S3/sync.64_4.s3.p00.g16.cor [40] ; min = -0.630482 (16018) ; max = +0.594333 (3324) ; ext = -0.630482 (16018)
cpa/S3/sync.64_4.s3.p00.g17.cor [40] ; min = -0.561338 (19471) ; max = +0.534238 (4445) ; ext = -0.561338 (19471)
cpa/S3/sync.64_4.s3.p00.g18.cor [40] ; min = -0.601181 (23816) ; max = +0.602616 (37348) ; ext = +0.602616 (37348)
cpa/S3/sync.64_4.s3.p00.g19.cor [40] ; min = -0.612514 (19863) ; max = +0.551743 (45993) ; ext = -0.612514 (19863)
cpa/S3/sync.64_4.s3.p00.g20.cor [40] ; min = -0.760208 (17539) ; max = +0.923076 (17541) ; ext = +0.923076 (17541)
cpa/S3/sync.64_4.s3.p00.g21.cor [40] ; min = -0.565006 (36678) ; max = +0.637742 (22936) ; ext = +0.637742 (22936)
cpa/S3/sync.64_4.s3.p00.g22.cor [40] ; min = -0.621171 (46884) ; max = +0.624013 (26041) ; ext = +0.624013 (26041)
cpa/S3/sync.64_4.s3.p00.g23.cor [40] ; min = -0.549423 (42411) ; max = +0.594616 (33613) ; ext = +0.594616 (33613)
cpa/S3/sync.64_4.s3.p00.g24.cor [40] ; min = -0.588553 (44239) ; max = +0.659616 (35903) ; ext = +0.659616 (35903)
cpa/S3/sync.64_4.s3.p00.g25.cor [40] ; min = -0.633096 (15457) ; max = +0.570007 (41571) ; ext = -0.633096 (15457)
cpa/S3/sync.64_4.s3.p00.g26.cor [40] ; min = -0.544466 (25417) ; max = +0.578910 (29185) ; ext = +0.578910 (29185)
cpa/S3/sync.64_4.s3.p00.g27.cor [40] ; min = -0.634022 (40193) ; max = +0.565490 (5443) ; ext = -0.634022 (40193)
cpa/S3/sync.64_4.s3.p00.g28.cor [40] ; min = -0.576430 (26734) ; max = +0.548659 (38084) ; ext = -0.576430 (26734)
cpa/S3/sync.64_4.s3.p00.g29.cor [40] ; min = -0.550309 (6339) ; max = +0.596818 (15456) ; ext = +0.596818 (15456)
cpa/S3/sync.64_4.s3.p00.g30.cor [40] ; min = -0.582763 (15186) ; max = +0.550256 (10305) ; ext = -0.582763 (15186)
cpa/S3/sync.64_4.s3.p00.g31.cor [40] ; min = -0.554078 (41926) ; max = +0.561482 (8376) ; ext = +0.561482 (8376)
cpa/S3/sync.64_4.s3.p00.g32.cor [40] ; min = -0.572958 (9783) ; max = +0.575793 (6853) ; ext = +0.575793 (6853)
cpa/S3/sync.64_4.s3.p00.g33.cor [40] ; min = -0.546048 (35634) ; max = +0.571572 (26196) ; ext = +0.571572 (26196)
cpa/S3/sync.64_4.s3.p00.g34.cor [40] ; min = -0.677263 (5622) ; max = +0.629986 (26448) ; ext = -0.677263 (5622)
cpa/S3/sync.64_4.s3.p00.g35.cor [40] ; min = -0.599460 (41723) ; max = +0.663868 (585) ; ext = +0.663868 (585)
cpa/S3/sync.64_4.s3.p00.g36.cor [40] ; min = -0.567290 (38390) ; max = +0.560649 (41257) ; ext = -0.567290 (38390)
cpa/S3/sync.64_4.s3.p00.g37.cor [40] ; min = -0.628723 (20386) ; max = +0.633136 (7894) ; ext = +0.633136 (7894)
cpa/S3/sync.64_4.s3.p00.g38.cor [40] ; min = -0.613691 (35811) ; max = +0.575659 (12285) ; ext = -0.613691 (35811)
cpa/S3/sync.64_4.s3.p00.g39.cor [40] ; min = -0.562536 (37899) ; max = +0.655277 (4677) ; ext = +0.655277 (4677)
cpa/S3/sync.64_4.s3.p00.g40.cor [40] ; min = -0.619760 (21937) ; max = +0.565888 (11663) ; ext = -0.619760 (21937)
cpa/S3/sync.64_4.s3.p00.g41.cor [40] ; min = -0.612798 (17687) ; max = +0.642317 (12137) ; ext = +0.642317 (12137)
cpa/S3/sync.64_4.s3.p00.g42.cor [40] ; min = -0.721646 (10452) ; max = +0.601676 (48836) ; ext = -0.721646 (10452)
cpa/S3/sync.64_4.s3.p00.g43.cor [40] ; min = -0.576829 (42053) ; max = +0.553195 (48472) ; ext = -0.576829 (42053)
cpa/S3/sync.64_4.s3.p00.g44.cor [40] ; min = -0.583833 (39078) ; max = +0.581120 (30034) ; ext = -0.583833 (39078)
cpa/S3/sync.64_4.s3.p00.g45.cor [40] ; min = -0.643941 (24989) ; max = +0.647541 (10519) ; ext = +0.647541 (10519)
cpa/S3/sync.64_4.s3.p00.g46.cor [40] ; min = -0.573358 (6376) ; max = +0.564230 (26775) ; ext = -0.573358 (6376)
cpa/S3/sync.64_4.s3.p00.g47.cor [40] ; min = -0.645064 (38026) ; max = +0.607641 (34005) ; ext = -0.645064 (38026)
cpa/S3/sync.64_4.s3.p00.g48.cor [40] ; min = -0.573220 (42553) ; max = +0.633859 (37514) ; ext = +0.633859 (37514)
cpa/S3/sync.64_4.s3.p00.g49.cor [40] ; min = -0.546160 (34273) ; max = +0.656981 (40234) ; ext = +0.656981 (40234)
cpa/S3/sync.64_4.s3.p00.g50.cor [40] ; min = -0.610645 (29588) ; max = +0.573731 (15015) ; ext = -0.610645 (29588)
cpa/S3/sync.64_4.s3.p00.g51.cor [40] ; min = -0.625106 (32001) ; max = +0.641944 (22153) ; ext = +0.641944 (22153)
cpa/S3/sync.64_4.s3.p00.g52.cor [40] ; min = -0.615474 (48359) ; max = +0.559488 (2235) ; ext = -0.615474 (48359)
cpa/S3/sync.64_4.s3.p00.g53.cor [40] ; min = -0.575013 (3324) ; max = +0.561621 (36446) ; ext = -0.575013 (3324)
cpa/S3/sync.64_4.s3.p00.g54.cor [40] ; min = -0.602457 (2636) ; max = +0.592867 (37908) ; ext = -0.602457 (2636)
cpa/S3/sync.64_4.s3.p00.g55.cor [40] ; min = -0.603585 (48223) ; max = +0.590178 (26454) ; ext = -0.603585 (48223)
cpa/S3/sync.64_4.s3.p00.g56.cor [40] ; min = -0.585712 (3500) ; max = +0.706311 (24345) ; ext = +0.706311 (24345)
cpa/S3/sync.64_4.s3.p00.g57.cor [40] ; min = -0.569098 (7253) ; max = +0.582993 (48806) ; ext = +0.582993 (48806)
cpa/S3/sync.64_4.s3.p00.g58.cor [40] ; min = -0.601546 (34668) ; max = +0.549679 (30865) ; ext = -0.601546 (34668)
cpa/S3/sync.64_4.s3.p00.g59.cor [40] ; min = -0.565981 (48845) ; max = +0.550628 (34724) ; ext = -0.565981 (48845)
cpa/S3/sync.64_4.s3.p00.g60.cor [40] ; min = -0.569621 (12691) ; max = +0.615549 (37278) ; ext = +0.615549 (37278)
cpa/S3/sync.64_4.s3.p00.g61.cor [40] ; min = -0.652687 (2002) ; max = +0.684891 (7340) ; ext = +0.684891 (7340)
cpa/S3/sync.64_4.s3.p00.g62.cor [40] ; min = -0.612704 (38378) ; max = +0.591261 (5308) ; ext = -0.612704 (38378)
cpa/S3/sync.64_4.s3.p00.g63.cor [40] ; min = -0.632202 (4624) ; max = +0.553319 (10257) ; ext = -0.632202 (4624)
