cpa/S8/demo.64_4.s8.p00.g00.cor [40] ; min = -0.571453 (31280) ; max = +0.590393 (41291) ; ext = +0.590393 (41291)
cpa/S8/demo.64_4.s8.p00.g01.cor [40] ; min = -0.610548 (2362) ; max = +0.553602 (34606) ; ext = -0.610548 (2362)
cpa/S8/demo.64_4.s8.p00.g02.cor [40] ; min = -0.600001 (25767) ; max = +0.579387 (41329) ; ext = -0.600001 (25767)
cpa/S8/demo.64_4.s8.p00.g03.cor [40] ; min = -0.682255 (826) ; max = +0.601633 (16885) ; ext = -0.682255 (826)
cpa/S8/demo.64_4.s8.p00.g04.cor [40] ; min = -0.636286 (31395) ; max = +0.647743 (23103) ; ext = +0.647743 (23103)
cpa/S8/demo.64_4.s8.p00.g05.cor [40] ; min = -0.559623 (37124) ; max = +0.599210 (17908) ; ext = +0.599210 (17908)
cpa/S8/demo.64_4.s8.p00.g06.cor [40] ; min = -0.597880 (39970) ; max = +0.636988 (25731) ; ext = +0.636988 (25731)
cpa/S8/demo.64_4.s8.p00.g07.cor [40] ; min = -0.541616 (45263) ; max = +0.553347 (14754) ; ext = +0.553347 (14754)
cpa/S8/demo.64_4.s8.p00.g08.cor [40] ; min = -0.553122 (36026) ; max = +0.535194 (16704) ; ext = -0.553122 (36026)
cpa/S8/demo.64_4.s8.p00.g09.cor [40] ; min = -0.599809 (14928) ; max = +0.616663 (29324) ; ext = +0.616663 (29324)
cpa/S8/demo.64_4.s8.p00.g10.cor [40] ; min = -0.670859 (14325) ; max = +0.597972 (1361) ; ext = -0.670859 (14325)
cpa/S8/demo.64_4.s8.p00.g11.cor [40] ; min = -0.585867 (7526) ; max = +0.652441 (32438) ; ext = +0.652441 (32438)
cpa/S8/demo.64_4.s8.p00.g12.cor [40] ; min = -0.632439 (22463) ; max = +0.606541 (38536) ; ext = -0.632439 (22463)
cpa/S8/demo.64_4.s8.p00.g13.cor [40] ; min = -0.670876 (45656) ; max = +0.713006 (1622) ; ext = +0.713006 (1622)
cpa/S8/demo.64_4.s8.p00.g14.cor [40] ; min = -0.557821 (39078) ; max = +0.560293 (3130) ; ext = +0.560293 (3130)
cpa/S8/demo.64_4.s8.p00.g15.cor [40] ; min = -0.533258 (15280) ; max = +0.597528 (3598) ; ext = +0.597528 (3598)
cpa/S8/demo.64_4.s8.p00.g16.cor [40] ; min = -0.583278 (44774) ; max = +0.593125 (48831) ; ext = +0.593125 (48831)
cpa/S8/demo.64_4.s8.p00.g17.cor [40] ; min = -0.544853 (47418) ; max = +0.541229 (40154) ; ext = -0.544853 (47418)
cpa/S8/demo.64_4.s8.p00.g18.cor [40] ; min = -0.637906 (49974) ; max = +0.636495 (35957) ; ext = -0.637906 (49974)
cpa/S8/demo.64_4.s8.p00.g19.cor [40] ; min = -0.539242 (40580) ; max = +0.624925 (23963) ; ext = +0.624925 (23963)
cpa/S8/demo.64_4.s8.p00.g20.cor [40] ; min = -0.563301 (38531) ; max = +0.587409 (19762) ; ext = +0.587409 (19762)
cpa/S8/demo.64_4.s8.p00.g21.cor [40] ; min = -0.558638 (3270) ; max = +0.559369 (38666) ; ext = +0.559369 (38666)
cpa/S8/demo.64_4.s8.p00.g22.cor [40] ; min = -0.651727 (10061) ; max = +0.547349 (15523) ; ext = -0.651727 (10061)
cpa/S8/demo.64_4.s8.p00.g23.cor [40] ; min = -0.571597 (41771) ; max = +0.535919 (18861) ; ext = -0.571597 (41771)
cpa/S8/demo.64_4.s8.p00.g24.cor [40] ; min = -0.602729 (3744) ; max = +0.591673 (6644) ; ext = -0.602729 (3744)
cpa/S8/demo.64_4.s8.p00.g25.cor [40] ; min = -0.613266 (33599) ; max = +0.650470 (23103) ; ext = +0.650470 (23103)
