cpa/S7/demo.64_4.s7.p00.g44.cor [40] ; min = -0.516574 (29223) ; max = +0.545546 (11589) ; ext = +0.545546 (11589)
cpa/S7/demo.64_4.s7.p00.g45.cor [40] ; min = -0.620817 (35912) ; max = +0.587430 (30260) ; ext = -0.620817 (35912)
cpa/S7/demo.64_4.s7.p00.g46.cor [40] ; min = -0.688540 (13764) ; max = +0.609689 (39552) ; ext = -0.688540 (13764)
cpa/S7/demo.64_4.s7.p00.g47.cor [40] ; min = -0.538102 (5985) ; max = +0.639472 (1454) ; ext = +0.639472 (1454)
cpa/S7/demo.64_4.s7.p00.g48.cor [40] ; min = -0.658620 (35492) ; max = +0.584548 (28645) ; ext = -0.658620 (35492)
cpa/S7/demo.64_4.s7.p00.g49.cor [40] ; min = -0.588648 (45125) ; max = +0.566973 (8184) ; ext = -0.588648 (45125)
cpa/S7/demo.64_4.s7.p00.g50.cor [40] ; min = -0.620841 (43585) ; max = +0.591731 (12040) ; ext = -0.620841 (43585)
cpa/S7/demo.64_4.s7.p00.g51.cor [40] ; min = -0.609432 (1227) ; max = +0.633016 (7482) ; ext = +0.633016 (7482)
cpa/S7/demo.64_4.s7.p00.g52.cor [40] ; min = -0.576550 (18213) ; max = +0.612305 (41109) ; ext = +0.612305 (41109)
cpa/S7/demo.64_4.s7.p00.g53.cor [40] ; min = -0.594162 (27188) ; max = +0.569641 (17149) ; ext = -0.594162 (27188)
cpa/S7/demo.64_4.s7.p00.g54.cor [40] ; min = -0.571265 (39084) ; max = +0.667384 (28627) ; ext = +0.667384 (28627)
cpa/S7/demo.64_4.s7.p00.g55.cor [40] ; min = -0.622563 (14557) ; max = +0.660610 (27195) ; ext = +0.660610 (27195)
cpa/S7/demo.64_4.s7.p00.g56.cor [40] ; min = -0.574384 (28237) ; max = +0.510156 (38109) ; ext = -0.574384 (28237)
cpa/S7/demo.64_4.s7.p00.g57.cor [40] ; min = -0.541352 (42245) ; max = +0.568787 (31487) ; ext = +0.568787 (31487)
cpa/S7/demo.64_4.s7.p00.g58.cor [40] ; min = -0.540035 (48906) ; max = +0.581993 (24782) ; ext = +0.581993 (24782)
cpa/S7/demo.64_4.s7.p00.g59.cor [40] ; min = -0.659713 (46351) ; max = +0.525430 (42652) ; ext = -0.659713 (46351)
cpa/S7/demo.64_4.s7.p00.g60.cor [40] ; min = -0.576802 (36823) ; max = +0.568682 (38241) ; ext = -0.576802 (36823)
cpa/S7/demo.64_4.s7.p00.g61.cor [40] ; min = -0.560976 (41461) ; max = +0.640917 (14103) ; ext = +0.640917 (14103)
cpa/S7/demo.64_4.s7.p00.g62.cor [40] ; min = -0.609619 (34246) ; max = +0.579617 (13756) ; ext = -0.609619 (34246)
cpa/S7/demo.64_4.s7.p00.g63.cor [40] ; min = -0.553134 (43585) ; max = +0.538137 (833) ; ext = -0.553134 (43585)
