cpa/S5/demo.64_4.s5.p00.g00.cor [40] ; min = -0.625208 (10596) ; max = +0.585146 (39754) ; ext = -0.625208 (10596)
cpa/S5/demo.64_4.s5.p00.g01.cor [40] ; min = -0.591110 (14106) ; max = +0.539349 (511) ; ext = -0.591110 (14106)
cpa/S5/demo.64_4.s5.p00.g02.cor [40] ; min = -0.510904 (45057) ; max = +0.603149 (47896) ; ext = +0.603149 (47896)
cpa/S5/demo.64_4.s5.p00.g03.cor [40] ; min = -0.592415 (9776) ; max = +0.577077 (4763) ; ext = -0.592415 (9776)
cpa/S5/demo.64_4.s5.p00.g04.cor [40] ; min = -0.651926 (13440) ; max = +0.588495 (35555) ; ext = -0.651926 (13440)
cpa/S5/demo.64_4.s5.p00.g05.cor [40] ; min = -0.571685 (47342) ; max = +0.635329 (41381) ; ext = +0.635329 (41381)
cpa/S5/demo.64_4.s5.p00.g06.cor [40] ; min = -0.576115 (5259) ; max = +0.618102 (13669) ; ext = +0.618102 (13669)
cpa/S5/demo.64_4.s5.p00.g07.cor [40] ; min = -0.569341 (29303) ; max = +0.576715 (43915) ; ext = +0.576715 (43915)
cpa/S5/demo.64_4.s5.p00.g08.cor [40] ; min = -0.561103 (14712) ; max = +0.584376 (24831) ; ext = +0.584376 (24831)
cpa/S5/demo.64_4.s5.p00.g09.cor [40] ; min = -0.575833 (6702) ; max = +0.616992 (44266) ; ext = +0.616992 (44266)
cpa/S5/demo.64_4.s5.p00.g10.cor [40] ; min = -0.509319 (35504) ; max = +0.514049 (15661) ; ext = +0.514049 (15661)
cpa/S5/demo.64_4.s5.p00.g11.cor [40] ; min = -0.573801 (4221) ; max = +0.584438 (27680) ; ext = +0.584438 (27680)
cpa/S5/demo.64_4.s5.p00.g12.cor [40] ; min = -0.610480 (42342) ; max = +0.626176 (49718) ; ext = +0.626176 (49718)
cpa/S5/demo.64_4.s5.p00.g13.cor [40] ; min = -0.667545 (651) ; max = +0.543238 (3007) ; ext = -0.667545 (651)
cpa/S5/demo.64_4.s5.p00.g14.cor [40] ; min = -0.560835 (49716) ; max = +0.587792 (35182) ; ext = +0.587792 (35182)
cpa/S5/demo.64_4.s5.p00.g15.cor [40] ; min = -0.640397 (47700) ; max = +0.597681 (11860) ; ext = -0.640397 (47700)
cpa/S5/demo.64_4.s5.p00.g16.cor [40] ; min = -0.536416 (8775) ; max = +0.576887 (46133) ; ext = +0.576887 (46133)
cpa/S5/demo.64_4.s5.p00.g17.cor [40] ; min = -0.591023 (12852) ; max = +0.587215 (5302) ; ext = -0.591023 (12852)
cpa/S5/demo.64_4.s5.p00.g18.cor [40] ; min = -0.625227 (46805) ; max = +0.594235 (6753) ; ext = -0.625227 (46805)
cpa/S5/demo.64_4.s5.p00.g19.cor [40] ; min = -0.567094 (11810) ; max = +0.534070 (1727) ; ext = -0.567094 (11810)
cpa/S5/demo.64_4.s5.p00.g20.cor [40] ; min = -0.587076 (44773) ; max = +0.555372 (37671) ; ext = -0.587076 (44773)
cpa/S5/demo.64_4.s5.p00.g21.cor [40] ; min = -0.489295 (11863) ; max = +0.582559 (45180) ; ext = +0.582559 (45180)
cpa/S5/demo.64_4.s5.p00.g22.cor [40] ; min = -0.566635 (19997) ; max = +0.557514 (49790) ; ext = -0.566635 (19997)
cpa/S5/demo.64_4.s5.p00.g23.cor [40] ; min = -0.500942 (2913) ; max = +0.552083 (46311) ; ext = +0.552083 (46311)
cpa/S5/demo.64_4.s5.p00.g24.cor [40] ; min = -0.630545 (15880) ; max = +0.521027 (40251) ; ext = -0.630545 (15880)
cpa/S5/demo.64_4.s5.p00.g25.cor [40] ; min = -0.634966 (42517) ; max = +0.574561 (36481) ; ext = -0.634966 (42517)
cpa/S5/demo.64_4.s5.p00.g26.cor [40] ; min = -0.548934 (21258) ; max = +0.626879 (9852) ; ext = +0.626879 (9852)
cpa/S5/demo.64_4.s5.p00.g27.cor [40] ; min = -0.586181 (35412) ; max = +0.592833 (39597) ; ext = +0.592833 (39597)
cpa/S5/demo.64_4.s5.p00.g28.cor [40] ; min = -0.577774 (27714) ; max = +0.547738 (9138) ; ext = -0.577774 (27714)
cpa/S5/demo.64_4.s5.p00.g29.cor [40] ; min = -0.492364 (20760) ; max = +0.576289 (9508) ; ext = +0.576289 (9508)
cpa/S5/demo.64_4.s5.p00.g30.cor [40] ; min = -0.605545 (1583) ; max = +0.583738 (43200) ; ext = -0.605545 (1583)
cpa/S5/demo.64_4.s5.p00.g31.cor [40] ; min = -0.568745 (46924) ; max = +0.646278 (31055) ; ext = +0.646278 (31055)
cpa/S5/demo.64_4.s5.p00.g32.cor [40] ; min = -0.564251 (2867) ; max = +0.571817 (10677) ; ext = +0.571817 (10677)
cpa/S5/demo.64_4.s5.p00.g33.cor [40] ; min = -0.603214 (47491) ; max = +0.585209 (37867) ; ext = -0.603214 (47491)
cpa/S5/demo.64_4.s5.p00.g34.cor [40] ; min = -0.678023 (9640) ; max = +0.591873 (35393) ; ext = -0.678023 (9640)
cpa/S5/demo.64_4.s5.p00.g35.cor [40] ; min = -0.554527 (13699) ; max = +0.591904 (29380) ; ext = +0.591904 (29380)
cpa/S5/demo.64_4.s5.p00.g36.cor [40] ; min = -0.581007 (38000) ; max = +0.641879 (12491) ; ext = +0.641879 (12491)
cpa/S5/demo.64_4.s5.p00.g37.cor [40] ; min = -0.563105 (41291) ; max = +0.597830 (6982) ; ext = +0.597830 (6982)
cpa/S5/demo.64_4.s5.p00.g38.cor [40] ; min = -0.598883 (29668) ; max = +0.566570 (18187) ; ext = -0.598883 (29668)
cpa/S5/demo.64_4.s5.p00.g39.cor [40] ; min = -0.576500 (42342) ; max = +0.616768 (25786) ; ext = +0.616768 (25786)
cpa/S5/demo.64_4.s5.p00.g40.cor [40] ; min = -0.604659 (10551) ; max = +0.610579 (38747) ; ext = +0.610579 (38747)
cpa/S5/demo.64_4.s5.p00.g41.cor [40] ; min = -0.561605 (35538) ; max = +0.611139 (8424) ; ext = +0.611139 (8424)
cpa/S5/demo.64_4.s5.p00.g42.cor [40] ; min = -0.522577 (45763) ; max = +0.545037 (4269) ; ext = +0.545037 (4269)
cpa/S5/demo.64_4.s5.p00.g43.cor [40] ; min = -0.591137 (26612) ; max = +0.588077 (47890) ; ext = -0.591137 (26612)
cpa/S5/demo.64_4.s5.p00.g44.cor [40] ; min = -0.562729 (13084) ; max = +0.594941 (35494) ; ext = +0.594941 (35494)
cpa/S5/demo.64_4.s5.p00.g45.cor [40] ; min = -0.630238 (3402) ; max = +0.572876 (43223) ; ext = -0.630238 (3402)
cpa/S5/demo.64_4.s5.p00.g46.cor [40] ; min = -0.616660 (49473) ; max = +0.550758 (32563) ; ext = -0.616660 (49473)
cpa/S5/demo.64_4.s5.p00.g47.cor [40] ; min = -0.567951 (28905) ; max = +0.566990 (15119) ; ext = -0.567951 (28905)
cpa/S5/demo.64_4.s5.p00.g48.cor [40] ; min = -0.637945 (16002) ; max = +0.592470 (49454) ; ext = -0.637945 (16002)
cpa/S5/demo.64_4.s5.p00.g49.cor [40] ; min = -0.566838 (5793) ; max = +0.607759 (25923) ; ext = +0.607759 (25923)
cpa/S5/demo.64_4.s5.p00.g50.cor [40] ; min = -0.584094 (42245) ; max = +0.608067 (39787) ; ext = +0.608067 (39787)
cpa/S5/demo.64_4.s5.p00.g51.cor [40] ; min = -0.554173 (42072) ; max = +0.591966 (47554) ; ext = +0.591966 (47554)
cpa/S5/demo.64_4.s5.p00.g52.cor [40] ; min = -0.552311 (34465) ; max = +0.554905 (19368) ; ext = +0.554905 (19368)
cpa/S5/demo.64_4.s5.p00.g53.cor [40] ; min = -0.553013 (5178) ; max = +0.570768 (17513) ; ext = +0.570768 (17513)
cpa/S5/demo.64_4.s5.p00.g54.cor [40] ; min = -0.684092 (31659) ; max = +0.549721 (15651) ; ext = -0.684092 (31659)
cpa/S5/demo.64_4.s5.p00.g55.cor [40] ; min = -0.604040 (11592) ; max = +0.613660 (5578) ; ext = +0.613660 (5578)
cpa/S5/demo.64_4.s5.p00.g56.cor [40] ; min = -0.533585 (44374) ; max = +0.537331 (17372) ; ext = +0.537331 (17372)
cpa/S5/demo.64_4.s5.p00.g57.cor [40] ; min = -0.553493 (510) ; max = +0.550128 (6098) ; ext = -0.553493 (510)
cpa/S5/demo.64_4.s5.p00.g58.cor [40] ; min = -0.611462 (35497) ; max = +0.635794 (27577) ; ext = +0.635794 (27577)
cpa/S5/demo.64_4.s5.p00.g59.cor [40] ; min = -0.548885 (7933) ; max = +0.536850 (11676) ; ext = -0.548885 (7933)
cpa/S5/demo.64_4.s5.p00.g60.cor [40] ; min = -0.601352 (20811) ; max = +0.536509 (18899) ; ext = -0.601352 (20811)
cpa/S5/demo.64_4.s5.p00.g61.cor [40] ; min = -0.585140 (42603) ; max = +0.595617 (7150) ; ext = +0.595617 (7150)
cpa/S5/demo.64_4.s5.p00.g62.cor [40] ; min = -0.514458 (21422) ; max = +0.550877 (23875) ; ext = +0.550877 (23875)
cpa/S5/demo.64_4.s5.p00.g63.cor [40] ; min = -0.521693 (18509) ; max = +0.673258 (9134) ; ext = +0.673258 (9134)
