cpa/S2/sync.64_4.s2.p00.g00.cor [40] ; min = -0.614367 (14691) ; max = +0.697055 (30561) ; ext = +0.697055 (30561)
cpa/S2/sync.64_4.s2.p00.g01.cor [40] ; min = -0.731265 (27907) ; max = +0.697793 (8509) ; ext = -0.731265 (27907)
cpa/S2/sync.64_4.s2.p00.g02.cor [40] ; min = -0.687114 (26730) ; max = +0.589001 (22559) ; ext = -0.687114 (26730)
cpa/S2/sync.64_4.s2.p00.g03.cor [40] ; min = -0.619235 (36261) ; max = +0.599757 (30756) ; ext = -0.619235 (36261)
cpa/S2/sync.64_4.s2.p00.g04.cor [40] ; min = -0.607269 (12073) ; max = +0.591966 (19869) ; ext = -0.607269 (12073)
cpa/S2/sync.64_4.s2.p00.g05.cor [40] ; min = -0.603344 (18170) ; max = +0.552469 (20721) ; ext = -0.603344 (18170)
cpa/S2/sync.64_4.s2.p00.g06.cor [40] ; min = -0.567885 (476) ; max = +0.541752 (29431) ; ext = -0.567885 (476)
cpa/S2/sync.64_4.s2.p00.g07.cor [40] ; min = -0.541186 (11264) ; max = +0.610167 (33593) ; ext = +0.610167 (33593)
cpa/S2/sync.64_4.s2.p00.g08.cor [40] ; min = -0.666223 (27558) ; max = +0.655656 (180) ; ext = -0.666223 (27558)
cpa/S2/sync.64_4.s2.p00.g09.cor [40] ; min = -0.681962 (180) ; max = +0.735601 (14694) ; ext = +0.735601 (14694)
cpa/S2/sync.64_4.s2.p00.g10.cor [40] ; min = -0.598781 (36348) ; max = +0.659095 (32596) ; ext = +0.659095 (32596)
cpa/S2/sync.64_4.s2.p00.g11.cor [40] ; min = -0.653141 (40536) ; max = +0.658564 (37011) ; ext = +0.658564 (37011)
cpa/S2/sync.64_4.s2.p00.g12.cor [40] ; min = -0.558393 (35299) ; max = +0.579653 (9087) ; ext = +0.579653 (9087)
cpa/S2/sync.64_4.s2.p00.g13.cor [40] ; min = -0.523072 (11136) ; max = +0.537545 (1379) ; ext = +0.537545 (1379)
cpa/S2/sync.64_4.s2.p00.g14.cor [40] ; min = -0.618396 (41384) ; max = +0.577190 (7808) ; ext = -0.618396 (41384)
cpa/S2/sync.64_4.s2.p00.g15.cor [40] ; min = -0.595782 (7418) ; max = +0.570349 (26731) ; ext = -0.595782 (7418)
cpa/S2/sync.64_4.s2.p00.g16.cor [40] ; min = -0.598684 (24742) ; max = +0.597886 (36448) ; ext = -0.598684 (24742)
cpa/S2/sync.64_4.s2.p00.g17.cor [40] ; min = -0.588567 (8368) ; max = +0.562821 (14725) ; ext = -0.588567 (8368)
cpa/S2/sync.64_4.s2.p00.g18.cor [40] ; min = -0.643325 (24597) ; max = +0.675841 (13362) ; ext = +0.675841 (13362)
cpa/S2/sync.64_4.s2.p00.g19.cor [40] ; min = -0.580115 (25255) ; max = +0.637713 (43193) ; ext = +0.637713 (43193)
cpa/S2/sync.64_4.s2.p00.g20.cor [40] ; min = -0.594000 (46887) ; max = +0.521848 (27869) ; ext = -0.594000 (46887)
cpa/S2/sync.64_4.s2.p00.g21.cor [40] ; min = -0.685568 (27192) ; max = +0.639051 (37113) ; ext = -0.685568 (27192)
cpa/S2/sync.64_4.s2.p00.g22.cor [40] ; min = -0.623747 (29806) ; max = +0.621924 (765) ; ext = -0.623747 (29806)
