cpa/S3/demo.64_4.s3.p00.g00.cor [40] ; min = -0.618304 (18188) ; max = +0.608553 (17175) ; ext = -0.618304 (18188)
cpa/S3/demo.64_4.s3.p00.g01.cor [40] ; min = -0.578608 (28914) ; max = +0.551652 (7207) ; ext = -0.578608 (28914)
cpa/S3/demo.64_4.s3.p00.g02.cor [40] ; min = -0.575192 (10981) ; max = +0.599229 (42682) ; ext = +0.599229 (42682)
cpa/S3/demo.64_4.s3.p00.g03.cor [40] ; min = -0.619923 (46947) ; max = +0.569260 (31135) ; ext = -0.619923 (46947)
cpa/S3/demo.64_4.s3.p00.g04.cor [40] ; min = -0.578140 (19635) ; max = +0.580808 (2501) ; ext = +0.580808 (2501)
cpa/S3/demo.64_4.s3.p00.g05.cor [40] ; min = -0.551239 (21457) ; max = +0.560302 (46789) ; ext = +0.560302 (46789)
cpa/S3/demo.64_4.s3.p00.g06.cor [40] ; min = -0.638102 (25798) ; max = +0.542877 (21196) ; ext = -0.638102 (25798)
cpa/S3/demo.64_4.s3.p00.g07.cor [40] ; min = -0.632178 (8150) ; max = +0.626456 (17788) ; ext = -0.632178 (8150)
cpa/S3/demo.64_4.s3.p00.g08.cor [40] ; min = -0.652558 (3882) ; max = +0.590225 (8340) ; ext = -0.652558 (3882)
cpa/S3/demo.64_4.s3.p00.g09.cor [40] ; min = -0.544671 (15216) ; max = +0.526675 (14474) ; ext = -0.544671 (15216)
cpa/S3/demo.64_4.s3.p00.g10.cor [40] ; min = -0.589893 (28913) ; max = +0.525070 (36499) ; ext = -0.589893 (28913)
cpa/S3/demo.64_4.s3.p00.g11.cor [40] ; min = -0.578677 (46923) ; max = +0.571650 (35170) ; ext = -0.578677 (46923)
cpa/S3/demo.64_4.s3.p00.g12.cor [40] ; min = -0.556090 (30623) ; max = +0.544223 (26464) ; ext = -0.556090 (30623)
cpa/S3/demo.64_4.s3.p00.g13.cor [40] ; min = -0.504584 (13899) ; max = +0.497069 (28507) ; ext = -0.504584 (13899)
cpa/S3/demo.64_4.s3.p00.g14.cor [40] ; min = -0.555693 (9039) ; max = +0.550765 (40698) ; ext = -0.555693 (9039)
cpa/S3/demo.64_4.s3.p00.g15.cor [40] ; min = -0.523553 (33698) ; max = +0.549125 (47520) ; ext = +0.549125 (47520)
cpa/S3/demo.64_4.s3.p00.g16.cor [40] ; min = -0.616815 (33447) ; max = +0.622273 (43866) ; ext = +0.622273 (43866)
cpa/S3/demo.64_4.s3.p00.g17.cor [40] ; min = -0.574488 (44707) ; max = +0.500807 (26734) ; ext = -0.574488 (44707)
cpa/S3/demo.64_4.s3.p00.g18.cor [40] ; min = -0.579652 (15469) ; max = +0.556023 (39641) ; ext = -0.579652 (15469)
cpa/S3/demo.64_4.s3.p00.g19.cor [40] ; min = -0.577049 (18278) ; max = +0.559554 (42320) ; ext = -0.577049 (18278)
cpa/S3/demo.64_4.s3.p00.g20.cor [40] ; min = -0.543475 (41250) ; max = +0.794332 (7235) ; ext = +0.794332 (7235)
cpa/S3/demo.64_4.s3.p00.g21.cor [40] ; min = -0.628041 (4038) ; max = +0.598419 (26960) ; ext = -0.628041 (4038)
cpa/S3/demo.64_4.s3.p00.g22.cor [40] ; min = -0.649471 (46884) ; max = +0.609772 (26336) ; ext = -0.649471 (46884)
cpa/S3/demo.64_4.s3.p00.g23.cor [40] ; min = -0.712111 (48286) ; max = +0.679935 (8150) ; ext = -0.712111 (48286)
cpa/S3/demo.64_4.s3.p00.g24.cor [40] ; min = -0.627902 (15100) ; max = +0.619805 (15553) ; ext = -0.627902 (15100)
cpa/S3/demo.64_4.s3.p00.g25.cor [40] ; min = -0.574673 (47262) ; max = +0.605288 (2314) ; ext = +0.605288 (2314)
cpa/S3/demo.64_4.s3.p00.g26.cor [40] ; min = -0.576535 (44042) ; max = +0.524991 (27977) ; ext = -0.576535 (44042)
cpa/S3/demo.64_4.s3.p00.g27.cor [40] ; min = -0.558557 (1896) ; max = +0.551542 (36240) ; ext = -0.558557 (1896)
cpa/S3/demo.64_4.s3.p00.g28.cor [40] ; min = -0.548289 (23623) ; max = +0.582697 (8411) ; ext = +0.582697 (8411)
cpa/S3/demo.64_4.s3.p00.g29.cor [40] ; min = -0.577333 (91) ; max = +0.603253 (14207) ; ext = +0.603253 (14207)
cpa/S3/demo.64_4.s3.p00.g30.cor [40] ; min = -0.560842 (23935) ; max = +0.599838 (12748) ; ext = +0.599838 (12748)
cpa/S3/demo.64_4.s3.p00.g31.cor [40] ; min = -0.551973 (37667) ; max = +0.582057 (39129) ; ext = +0.582057 (39129)
cpa/S3/demo.64_4.s3.p00.g32.cor [40] ; min = -0.526338 (26049) ; max = +0.558111 (38212) ; ext = +0.558111 (38212)
cpa/S3/demo.64_4.s3.p00.g33.cor [40] ; min = -0.571915 (9143) ; max = +0.617170 (26104) ; ext = +0.617170 (26104)
cpa/S3/demo.64_4.s3.p00.g34.cor [40] ; min = -0.545171 (5622) ; max = +0.561135 (11824) ; ext = +0.561135 (11824)
cpa/S3/demo.64_4.s3.p00.g35.cor [40] ; min = -0.560578 (2582) ; max = +0.569385 (570) ; ext = +0.569385 (570)
cpa/S3/demo.64_4.s3.p00.g36.cor [40] ; min = -0.542396 (30987) ; max = +0.582136 (47619) ; ext = +0.582136 (47619)
cpa/S3/demo.64_4.s3.p00.g37.cor [40] ; min = -0.598958 (45392) ; max = +0.625550 (32306) ; ext = +0.625550 (32306)
cpa/S3/demo.64_4.s3.p00.g38.cor [40] ; min = -0.570957 (46380) ; max = +0.514498 (31203) ; ext = -0.570957 (46380)
cpa/S3/demo.64_4.s3.p00.g39.cor [40] ; min = -0.584604 (18592) ; max = +0.624277 (5371) ; ext = +0.624277 (5371)
cpa/S3/demo.64_4.s3.p00.g40.cor [40] ; min = -0.551787 (49341) ; max = +0.636465 (40836) ; ext = +0.636465 (40836)
cpa/S3/demo.64_4.s3.p00.g41.cor [40] ; min = -0.583642 (8608) ; max = +0.549945 (47477) ; ext = -0.583642 (8608)
cpa/S3/demo.64_4.s3.p00.g42.cor [40] ; min = -0.543290 (9241) ; max = +0.551904 (14388) ; ext = +0.551904 (14388)
cpa/S3/demo.64_4.s3.p00.g43.cor [40] ; min = -0.527790 (41118) ; max = +0.592139 (35060) ; ext = +0.592139 (35060)
cpa/S3/demo.64_4.s3.p00.g44.cor [40] ; min = -0.599157 (16144) ; max = +0.600388 (20537) ; ext = +0.600388 (20537)
cpa/S3/demo.64_4.s3.p00.g45.cor [40] ; min = -0.492204 (36728) ; max = +0.551167 (40892) ; ext = +0.551167 (40892)
cpa/S3/demo.64_4.s3.p00.g46.cor [40] ; min = -0.647466 (15082) ; max = +0.606057 (10135) ; ext = -0.647466 (15082)
cpa/S3/demo.64_4.s3.p00.g47.cor [40] ; min = -0.593732 (25036) ; max = +0.674825 (6266) ; ext = +0.674825 (6266)
cpa/S3/demo.64_4.s3.p00.g48.cor [40] ; min = -0.572107 (2979) ; max = +0.623293 (12407) ; ext = +0.623293 (12407)
cpa/S3/demo.64_4.s3.p00.g49.cor [40] ; min = -0.526065 (27053) ; max = +0.601371 (12411) ; ext = +0.601371 (12411)
cpa/S3/demo.64_4.s3.p00.g50.cor [40] ; min = -0.648508 (28668) ; max = +0.562821 (17734) ; ext = -0.648508 (28668)
cpa/S3/demo.64_4.s3.p00.g51.cor [40] ; min = -0.570966 (29258) ; max = +0.565153 (48573) ; ext = -0.570966 (29258)
cpa/S3/demo.64_4.s3.p00.g52.cor [40] ; min = -0.522826 (47632) ; max = +0.580257 (2979) ; ext = +0.580257 (2979)
cpa/S3/demo.64_4.s3.p00.g53.cor [40] ; min = -0.563621 (3324) ; max = +0.587950 (37535) ; ext = +0.587950 (37535)
cpa/S3/demo.64_4.s3.p00.g54.cor [40] ; min = -0.594310 (2314) ; max = +0.618232 (15339) ; ext = +0.618232 (15339)
cpa/S3/demo.64_4.s3.p00.g55.cor [40] ; min = -0.509875 (36455) ; max = +0.563816 (7952) ; ext = +0.563816 (7952)
cpa/S3/demo.64_4.s3.p00.g56.cor [40] ; min = -0.570758 (38212) ; max = +0.578193 (25720) ; ext = +0.578193 (25720)
cpa/S3/demo.64_4.s3.p00.g57.cor [40] ; min = -0.565757 (8291) ; max = +0.560221 (49295) ; ext = -0.565757 (8291)
cpa/S3/demo.64_4.s3.p00.g58.cor [40] ; min = -0.570660 (33247) ; max = +0.672827 (14665) ; ext = +0.672827 (14665)
cpa/S3/demo.64_4.s3.p00.g59.cor [40] ; min = -0.572852 (7241) ; max = +0.646622 (26596) ; ext = +0.646622 (26596)
cpa/S3/demo.64_4.s3.p00.g60.cor [40] ; min = -0.597883 (33322) ; max = +0.592873 (36927) ; ext = -0.597883 (33322)
cpa/S3/demo.64_4.s3.p00.g61.cor [40] ; min = -0.637030 (2169) ; max = +0.600326 (43157) ; ext = -0.637030 (2169)
cpa/S3/demo.64_4.s3.p00.g62.cor [40] ; min = -0.630682 (21303) ; max = +0.595606 (12402) ; ext = -0.630682 (21303)
cpa/S3/demo.64_4.s3.p00.g63.cor [40] ; min = -0.602739 (35911) ; max = +0.580587 (13669) ; ext = -0.602739 (35911)
