cpa/S5/sync.64_4.s5.p00.g00.cor [40] ; min = -0.665319 (8981) ; max = +0.610269 (3620) ; ext = -0.665319 (8981)
cpa/S5/sync.64_4.s5.p00.g01.cor [40] ; min = -0.549715 (40921) ; max = +0.603955 (9921) ; ext = +0.603955 (9921)
cpa/S5/sync.64_4.s5.p00.g02.cor [40] ; min = -0.574588 (14485) ; max = +0.610308 (47895) ; ext = +0.610308 (47895)
cpa/S5/sync.64_4.s5.p00.g03.cor [40] ; min = -0.606760 (11857) ; max = +0.633148 (49327) ; ext = +0.633148 (49327)
cpa/S5/sync.64_4.s5.p00.g04.cor [40] ; min = -0.552455 (29302) ; max = +0.634070 (37668) ; ext = +0.634070 (37668)
cpa/S5/sync.64_4.s5.p00.g05.cor [40] ; min = -0.574502 (45134) ; max = +0.645977 (18547) ; ext = +0.645977 (18547)
cpa/S5/sync.64_4.s5.p00.g06.cor [40] ; min = -0.646284 (45018) ; max = +0.591751 (12250) ; ext = -0.646284 (45018)
cpa/S5/sync.64_4.s5.p00.g07.cor [40] ; min = -0.576858 (49834) ; max = +0.567657 (8166) ; ext = -0.576858 (49834)
cpa/S5/sync.64_4.s5.p00.g08.cor [40] ; min = -0.602910 (16244) ; max = +0.575379 (32705) ; ext = -0.602910 (16244)
cpa/S5/sync.64_4.s5.p00.g09.cor [40] ; min = -0.572908 (31346) ; max = +0.603522 (42903) ; ext = +0.603522 (42903)
cpa/S5/sync.64_4.s5.p00.g10.cor [40] ; min = -0.516368 (33831) ; max = +0.624761 (48422) ; ext = +0.624761 (48422)
cpa/S5/sync.64_4.s5.p00.g11.cor [40] ; min = -0.565964 (44502) ; max = +0.633056 (42990) ; ext = +0.633056 (42990)
cpa/S5/sync.64_4.s5.p00.g12.cor [40] ; min = -0.543498 (34245) ; max = +0.636879 (26264) ; ext = +0.636879 (26264)
cpa/S5/sync.64_4.s5.p00.g13.cor [40] ; min = -0.587597 (27059) ; max = +0.610253 (45454) ; ext = +0.610253 (45454)
cpa/S5/sync.64_4.s5.p00.g14.cor [40] ; min = -0.619216 (332) ; max = +0.606574 (24428) ; ext = -0.619216 (332)
cpa/S5/sync.64_4.s5.p00.g15.cor [40] ; min = -0.643976 (38217) ; max = +0.567343 (19879) ; ext = -0.643976 (38217)
cpa/S5/sync.64_4.s5.p00.g16.cor [40] ; min = -0.573449 (2798) ; max = +0.609752 (4951) ; ext = +0.609752 (4951)
cpa/S5/sync.64_4.s5.p00.g17.cor [40] ; min = -0.625024 (10311) ; max = +0.595064 (39369) ; ext = -0.625024 (10311)
cpa/S5/sync.64_4.s5.p00.g18.cor [40] ; min = -0.598828 (13154) ; max = +0.540739 (23752) ; ext = -0.598828 (13154)
cpa/S5/sync.64_4.s5.p00.g19.cor [40] ; min = -0.577085 (44770) ; max = +0.605816 (15611) ; ext = +0.605816 (15611)
cpa/S5/sync.64_4.s5.p00.g20.cor [40] ; min = -0.629434 (34313) ; max = +0.592904 (42864) ; ext = -0.629434 (34313)
cpa/S5/sync.64_4.s5.p00.g21.cor [40] ; min = -0.525586 (4107) ; max = +0.577702 (45177) ; ext = +0.577702 (45177)
cpa/S5/sync.64_4.s5.p00.g22.cor [40] ; min = -0.538563 (9651) ; max = +0.565464 (23924) ; ext = +0.565464 (23924)
cpa/S5/sync.64_4.s5.p00.g23.cor [40] ; min = -0.615763 (23335) ; max = +0.560162 (49269) ; ext = -0.615763 (23335)
cpa/S5/sync.64_4.s5.p00.g24.cor [40] ; min = -0.611678 (15879) ; max = +0.592325 (23357) ; ext = -0.611678 (15879)
cpa/S5/sync.64_4.s5.p00.g25.cor [40] ; min = -0.644651 (41965) ; max = +0.562896 (11273) ; ext = -0.644651 (41965)
cpa/S5/sync.64_4.s5.p00.g26.cor [40] ; min = -0.577419 (5169) ; max = +0.544265 (34786) ; ext = -0.577419 (5169)
cpa/S5/sync.64_4.s5.p00.g27.cor [40] ; min = -0.625132 (15345) ; max = +0.617917 (30789) ; ext = -0.625132 (15345)
cpa/S5/sync.64_4.s5.p00.g28.cor [40] ; min = -0.585924 (24113) ; max = +0.554026 (10372) ; ext = -0.585924 (24113)
cpa/S5/sync.64_4.s5.p00.g29.cor [40] ; min = -0.557117 (19644) ; max = +0.573271 (14117) ; ext = +0.573271 (14117)
cpa/S5/sync.64_4.s5.p00.g30.cor [40] ; min = -0.615113 (39953) ; max = +0.584063 (17585) ; ext = -0.615113 (39953)
